"train/global_step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - train/loss","MIN","MAX"
"1326","1325","1325","1325","3.9523","3.9523","3.9523"
"1348","1347","1347","1347","3.9451","3.9451","3.9451"
"1358","1357","1357","1357","3.9263","3.9263","3.9263"
"1367","1366","1366","1366","3.9718","3.9718","3.9718"
"1374","1373","1373","1373","3.9529","3.9529","3.9529"
"1376","1375","1375","1375","3.9399","3.9399","3.9399"
"1384","1383","1383","1383","3.9608","3.9608","3.9608"
"1397","1396","1396","1396","3.9356","3.9356","3.9356"
"1431","1430","1430","1430","3.9116","3.9116","3.9116"
"1436","1435","1435","1435","3.9057","3.9057","3.9057"
"1443","1442","1442","1442","3.9404","3.9404","3.9404"
"1461","1460","1460","1460","3.8706","3.8706","3.8706"
"1475","1474","1474","1474","3.8926","3.8926","3.8926"
"1488","1487","1487","1487","3.8874","3.8874","3.8874"
"1489","1488","1488","1488","3.8811","3.8811","3.8811"
"1502","1501","1501","1501","3.8887","3.8887","3.8887"
"1506","1505","1505","1505","3.8682","3.8682","3.8682"
"1507","1506","1506","1506","3.881","3.881","3.881"
"1519","1518","1518","1518","3.8914","3.8914","3.8914"
"1536","1535","1535","1535","3.8439","3.8439","3.8439"
"1541","1540","1540","1540","3.8317","3.8317","3.8317"
"1560","1559","1559","1559","3.866","3.866","3.866"
"1576","1575","1575","1575","3.8364","3.8364","3.8364"
"1583","1582","1582","1582","3.8096","3.8096","3.8096"
"1597","1596","1596","1596","3.8097","3.8097","3.8097"
"1613","1612","1612","1612","3.8465","3.8465","3.8465"
"1630","1629","1629","1629","3.7882","3.7882","3.7882"
"1645","1644","1644","1644","3.7715","3.7715","3.7715"
"1651","1650","1650","1650","3.8065","3.8065","3.8065"
"1654","1653","1653","1653","3.7924","3.7924","3.7924"
"1657","1656","1656","1656","3.8035","3.8035","3.8035"
"1662","1661","1661","1661","3.7871","3.7871","3.7871"
"1663","1662","1662","1662","3.8129","3.8129","3.8129"
"1665","1664","1664","1664","3.7885","3.7885","3.7885"
"1670","1669","1669","1669","3.7843","3.7843","3.7843"
"1675","1674","1674","1674","3.7789","3.7789","3.7789"
"1700","1699","1699","1699","3.7848","3.7848","3.7848"
"1705","1704","1704","1704","3.7624","3.7624","3.7624"
"1706","1705","1705","1705","3.7595","3.7595","3.7595"
"1715","1714","1714","1714","3.8004","3.8004","3.8004"
