"train/global_step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - train/loss","MIN","MAX"
"25612","25611","25611","25611","3.4677","3.4677","3.4677"
"25616","25615","25615","25615","3.4933","3.4933","3.4933"
"25618","25617","25617","25617","3.4639","3.4639","3.4639"
"25666","25665","25665","25665","3.3919","3.3919","3.3919"
"25668","25667","25667","25667","3.4114","3.4114","3.4114"
"25710","25709","25709","25709","3.7775","3.7775","3.7775"
"25723","25722","25722","25722","3.5807","3.5807","3.5807"
"25730","25729","25729","25729","3.5541","3.5541","3.5541"
"25737","25736","25736","25736","3.4851","3.4851","3.4851"
"25741","25740","25740","25740","3.4745","3.4745","3.4745"
"25747","25746","25746","25746","3.5044","3.5044","3.5044"
"25755","25754","25754","25754","3.4458","3.4458","3.4458"
"25756","25755","25755","25755","3.4472","3.4472","3.4472"
"25760","25759","25759","25759","3.452","3.452","3.452"
"25765","25764","25764","25764","3.4333","3.4333","3.4333"
"25768","25767","25767","25767","3.4266","3.4266","3.4266"
"25778","25777","25777","25777","3.4029","3.4029","3.4029"
"25782","25781","25781","25781","3.3864","3.3864","3.3864"
"25784","25783","25783","25783","3.3994","3.3994","3.3994"
"25801","25800","25800","25800","3.3565","3.3565","3.3565"
"25818","25817","25817","25817","3.3688","3.3688","3.3688"
"25819","25818","25818","25818","3.3805","3.3805","3.3805"
"25836","25835","25835","25835","3.3496","3.3496","3.3496"
"25838","25837","25837","25837","3.3536","3.3536","3.3536"
"25841","25840","25840","25840","3.3473","3.3473","3.3473"
"25844","25843","25843","25843","3.3411","3.3411","3.3411"
"25882","25881","25881","25881","3.3084","3.3084","3.3084"
"25893","25892","25892","25892","3.3189","3.3189","3.3189"
"25906","25905","25905","25905","3.3186","3.3186","3.3186"
"25917","25916","25916","25916","3.305","3.305","3.305"
"25919","25918","25918","25918","3.3084","3.3084","3.3084"
"25928","25927","25927","25927","3.3049","3.3049","3.3049"
"25929","25928","25928","25928","3.3066","3.3066","3.3066"
"25934","25933","25933","25933","3.3279","3.3279","3.3279"
"25936","25935","25935","25935","3.3018","3.3018","3.3018"
"25951","25950","25950","25950","3.3052","3.3052","3.3052"
"25954","25953","25953","25953","3.2849","3.2849","3.2849"
"25963","25962","25962","25962","3.2685","3.2685","3.2685"
"25987","25986","25986","25986","3.2425","3.2425","3.2425"
"26010","26009","26009","26009","3.2494","3.2494","3.2494"
"26014","26013","26013","26013","3.2466","3.2466","3.2466"
"26015","26014","26014","26014","3.2492","3.2492","3.2492"
"26019","26018","26018","26018","3.2688","3.2688","3.2688"
"26020","26019","26019","26019","3.2471","3.2471","3.2471"
"26044","26043","26043","26043","3.2685","3.2685","3.2685"
"26053","26052","26052","26052","3.233","3.233","3.233"
"26059","26058","26058","26058","3.2766","3.2766","3.2766"
"26065","26064","26064","26064","3.2276","3.2276","3.2276"
"26071","26070","26070","26070","3.2264","3.2264","3.2264"
"26126","26125","26125","26125","3.2196","3.2196","3.2196"
"26131","26130","26130","26130","3.2186","3.2186","3.2186"
"26154","26153","26153","26153","3.2208","3.2208","3.2208"
"26155","26154","26154","26154","3.2061","3.2061","3.2061"
"26174","26173","26173","26173","4.3222","4.3222","4.3222"
"26175","26174","26174","26174","4.3079","4.3079","4.3079"
"26177","26176","26176","26176","4.1848","4.1848","4.1848"
"26200","26199","26199","26199","3.7131","3.7131","3.7131"
"26212","26211","26211","26211","3.833","3.833","3.833"
"26231","26230","26230","26230","3.5743","3.5743","3.5743"
"26267","26266","26266","26266","3.4047","3.4047","3.4047"
"26276","26275","26275","26275","3.4172","3.4172","3.4172"
"26299","26298","26298","26298","3.3281","3.3281","3.3281"
"26307","26306","26306","26306","3.3395","3.3395","3.3395"
"26309","26308","26308","26308","3.3238","3.3238","3.3238"
"26321","26320","26320","26320","3.3302","3.3302","3.3302"
"26323","26322","26322","26322","3.3261","3.3261","3.3261"
"26338","26337","26337","26337","3.3319","3.3319","3.3319"
"26342","26341","26341","26341","3.3074","3.3074","3.3074"
"26344","26343","26343","26343","3.2775","3.2775","3.2775"
"26345","26344","26344","26344","3.2912","3.2912","3.2912"
"26359","26358","26358","26358","3.302","3.302","3.302"
"26364","26363","26363","26363","3.2778","3.2778","3.2778"
"26367","26366","26366","26366","3.314","3.314","3.314"
"26375","26374","26374","26374","3.3035","3.3035","3.3035"
"26387","26386","26386","26386","3.2958","3.2958","3.2958"
"26402","26401","26401","26401","3.2738","3.2738","3.2738"
"26419","26418","26418","26418","3.2742","3.2742","3.2742"
"26427","26426","26426","26426","3.2652","3.2652","3.2652"
"26442","26441","26441","26441","3.2644","3.2644","3.2644"
"26444","26443","26443","26443","3.2491","3.2491","3.2491"
"26468","26467","26467","26467","3.2522","3.2522","3.2522"
"26476","26475","26475","26475","3.2423","3.2423","3.2423"
"26484","26483","26483","26483","3.2368","3.2368","3.2368"
"26485","26484","26484","26484","3.2165","3.2165","3.2165"
"26510","26509","26509","26509","3.2426","3.2426","3.2426"
"26512","26511","26511","26511","3.2576","3.2576","3.2576"
"26530","26529","26529","26529","3.2538","3.2538","3.2538"
"26531","26530","26530","26530","3.2245","3.2245","3.2245"
"26550","26549","26549","26549","3.2203","3.2203","3.2203"
"26570","26569","26569","26569","3.2271","3.2271","3.2271"
"26571","26570","26570","26570","3.2218","3.2218","3.2218"
"26574","26573","26573","26573","3.2162","3.2162","3.2162"
"26584","26583","26583","26583","3.2341","3.2341","3.2341"
"26587","26586","26586","26586","3.2168","3.2168","3.2168"
"26620","26619","26619","26619","3.2189","3.2189","3.2189"
"26634","26633","26633","26633","3.2043","3.2043","3.2043"
"26645","26644","26644","26644","3.1963","3.1963","3.1963"
"26650","26649","26649","26649","3.2157","3.2157","3.2157"
"26659","26658","26658","26658","3.2068","3.2068","3.2068"
"26660","26659","26659","26659","3.226","3.226","3.226"
"26662","26661","26661","26661","3.1991","3.1991","3.1991"
"26672","26671","26671","26671","3.22","3.22","3.22"
"26697","26696","26696","26696","3.235","3.235","3.235"
"26707","26706","26706","26706","3.2009","3.2009","3.2009"
"26723","26722","26722","26722","3.2153","3.2153","3.2153"
"26742","26741","26741","26741","3.1925","3.1925","3.1925"
"26760","26759","26759","26759","3.2005","3.2005","3.2005"
"26771","26770","26770","26770","3.1736","3.1736","3.1736"
"26772","26771","26771","26771","3.1786","3.1786","3.1786"
"26773","26772","26772","26772","3.2073","3.2073","3.2073"
"26776","26775","26775","26775","3.1798","3.1798","3.1798"
"26789","26788","26788","26788","3.1832","3.1832","3.1832"
"26790","26789","26789","26789","3.1948","3.1948","3.1948"
"26794","26793","26793","26793","3.2027","3.2027","3.2027"
"26795","26794","26794","26794","3.1989","3.1989","3.1989"
"26808","26807","26807","26807","3.1732","3.1732","3.1732"
"26824","26823","26823","26823","3.2174","3.2174","3.2174"
"26846","26845","26845","26845","3.1995","3.1995","3.1995"
"26849","26848","26848","26848","3.1861","3.1861","3.1861"
"26859","26858","26858","26858","3.1875","3.1875","3.1875"
"26871","26870","26870","26870","3.1958","3.1958","3.1958"
"26879","26878","26878","26878","3.143","3.143","3.143"
"26886","26885","26885","26885","3.1904","3.1904","3.1904"
"26890","26889","26889","26889","3.1911","3.1911","3.1911"
"26892","26891","26891","26891","3.1811","3.1811","3.1811"
"26894","26893","26893","26893","3.1921","3.1921","3.1921"
"26902","26901","26901","26901","3.1855","3.1855","3.1855"
"26905","26904","26904","26904","3.1879","3.1879","3.1879"
"26921","26920","26920","26920","3.1975","3.1975","3.1975"
"26922","26921","26921","26921","3.2182","3.2182","3.2182"
"26923","26922","26922","26922","3.1996","3.1996","3.1996"
"26925","26924","26924","26924","3.1757","3.1757","3.1757"
"26949","26948","26948","26948","3.1837","3.1837","3.1837"
"26951","26950","26950","26950","3.1842","3.1842","3.1842"
"26968","26967","26967","26967","3.1975","3.1975","3.1975"
"26975","26974","26974","26974","3.166","3.166","3.166"
"26979","26978","26978","26978","3.1913","3.1913","3.1913"
"26983","26982","26982","26982","3.1513","3.1513","3.1513"
"26991","26990","26990","26990","3.2016","3.2016","3.2016"
"27003","27002","27002","27002","3.1822","3.1822","3.1822"
"27004","27003","27003","27003","3.1477","3.1477","3.1477"
"27012","27011","27011","27011","3.1667","3.1667","3.1667"
"27019","27018","27018","27018","3.1795","3.1795","3.1795"
"27037","27036","27036","27036","3.1942","3.1942","3.1942"
"27046","27045","27045","27045","3.1838","3.1838","3.1838"
"27055","27054","27054","27054","3.1784","3.1784","3.1784"
"27063","27062","27062","27062","3.1403","3.1403","3.1403"
"27064","27063","27063","27063","3.182","3.182","3.182"
"27072","27071","27071","27071","3.1553","3.1553","3.1553"
"27082","27081","27081","27081","3.1841","3.1841","3.1841"
"27083","27082","27082","27082","3.1671","3.1671","3.1671"
"27108","27107","27107","27107","3.1698","3.1698","3.1698"
"27123","27122","27122","27122","3.1726","3.1726","3.1726"
"27134","27133","27133","27133","3.1726","3.1726","3.1726"
"27146","27145","27145","27145","3.1805","3.1805","3.1805"
"27149","27148","27148","27148","3.1712","3.1712","3.1712"
"27152","27151","27151","27151","3.1579","3.1579","3.1579"
"27154","27153","27153","27153","3.1904","3.1904","3.1904"
"27157","27156","27156","27156","3.1928","3.1928","3.1928"
"27172","27171","27171","27171","3.1741","3.1741","3.1741"
"27174","27173","27173","27173","3.1468","3.1468","3.1468"
"27184","27183","27183","27183","3.1861","3.1861","3.1861"
"27192","27191","27191","27191","3.1787","3.1787","3.1787"
"27208","27207","27207","27207","3.1762","3.1762","3.1762"
"27232","27231","27231","27231","3.1688","3.1688","3.1688"
"27238","27237","27237","27237","3.1523","3.1523","3.1523"
"27249","27248","27248","27248","3.1704","3.1704","3.1704"
"27260","27259","27259","27259","3.1486","3.1486","3.1486"
"27267","27266","27266","27266","3.1429","3.1429","3.1429"
"27304","27303","27303","27303","3.1588","3.1588","3.1588"
"27306","27305","27305","27305","3.1647","3.1647","3.1647"
"27310","27309","27309","27309","3.1492","3.1492","3.1492"
"27336","27335","27335","27335","3.1303","3.1303","3.1303"
"27343","27342","27342","27342","3.1908","3.1908","3.1908"
"27364","27363","27363","27363","4.0757","4.0757","4.0757"
"27368","27367","27367","27367","3.9021","3.9021","3.9021"
"27370","27369","27369","27369","3.8451","3.8451","3.8451"
"27386","27385","27385","27385","3.5665","3.5665","3.5665"
"27398","27397","27397","27397","3.4324","3.4324","3.4324"
"27401","27400","27400","27400","3.4361","3.4361","3.4361"
"27411","27410","27410","27410","3.3515","3.3515","3.3515"
"27413","27412","27412","27412","3.3783","3.3783","3.3783"
"27433","27432","27432","27432","3.3142","3.3142","3.3142"
"27468","27467","27467","27467","3.2668","3.2668","3.2668"
"27478","27477","27477","27477","3.2273","3.2273","3.2273"
"27486","27485","27485","27485","3.2452","3.2452","3.2452"
"27493","27492","27492","27492","3.2292","3.2292","3.2292"
"27506","27505","27505","27505","3.2254","3.2254","3.2254"
"27509","27508","27508","27508","3.2178","3.2178","3.2178"
"27520","27519","27519","27519","3.2196","3.2196","3.2196"
"27521","27520","27520","27520","3.2285","3.2285","3.2285"
"27535","27534","27534","27534","3.1801","3.1801","3.1801"
"27577","27576","27576","27576","3.1914","3.1914","3.1914"
"27581","27580","27580","27580","3.2034","3.2034","3.2034"
"27587","27586","27586","27586","3.1904","3.1904","3.1904"
"27590","27589","27589","27589","3.2017","3.2017","3.2017"
"27601","27600","27600","27600","3.1874","3.1874","3.1874"
"27616","27615","27615","27615","3.2021","3.2021","3.2021"
"27619","27618","27618","27618","3.2048","3.2048","3.2048"
"27650","27649","27649","27649","3.1788","3.1788","3.1788"
"27711","27710","27710","27710","3.1522","3.1522","3.1522"
"27714","27713","27713","27713","3.1667","3.1667","3.1667"
"27715","27714","27714","27714","3.1743","3.1743","3.1743"
"27728","27727","27727","27727","3.1448","3.1448","3.1448"
"27732","27731","27731","27731","3.1369","3.1369","3.1369"
"27733","27732","27732","27732","3.1678","3.1678","3.1678"
"27734","27733","27733","27733","3.1798","3.1798","3.1798"
"27737","27736","27736","27736","3.1759","3.1759","3.1759"
"27742","27741","27741","27741","3.1778","3.1778","3.1778"
"27753","27752","27752","27752","3.1662","3.1662","3.1662"
"27762","27761","27761","27761","3.1812","3.1812","3.1812"
"27766","27765","27765","27765","3.1439","3.1439","3.1439"
"27768","27767","27767","27767","3.1574","3.1574","3.1574"
"27775","27774","27774","27774","3.1812","3.1812","3.1812"
"27780","27779","27779","27779","3.158","3.158","3.158"
"27782","27781","27781","27781","3.1655","3.1655","3.1655"
"27783","27782","27782","27782","3.1737","3.1737","3.1737"
"27810","27809","27809","27809","3.1467","3.1467","3.1467"
"27823","27822","27822","27822","3.1712","3.1712","3.1712"
"27828","27827","27827","27827","3.164","3.164","3.164"
"27831","27830","27830","27830","3.1703","3.1703","3.1703"
"27833","27832","27832","27832","3.1898","3.1898","3.1898"
"27843","27842","27842","27842","3.1544","3.1544","3.1544"
"27846","27845","27845","27845","3.1331","3.1331","3.1331"
"27851","27850","27850","27850","3.1683","3.1683","3.1683"
"27882","27881","27881","27881","3.169","3.169","3.169"
"27906","27905","27905","27905","3.1709","3.1709","3.1709"
"27911","27910","27910","27910","3.1656","3.1656","3.1656"
"27927","27926","27926","27926","3.1564","3.1564","3.1564"
"27941","27940","27940","27940","3.1391","3.1391","3.1391"
"27962","27961","27961","27961","3.1714","3.1714","3.1714"
"27963","27962","27962","27962","3.1448","3.1448","3.1448"
"27972","27971","27971","27971","3.1632","3.1632","3.1632"
"27980","27979","27979","27979","3.1513","3.1513","3.1513"
"27999","27998","27998","27998","3.1672","3.1672","3.1672"
"28010","28009","28009","28009","3.1594","3.1594","3.1594"
"28011","28010","28010","28010","3.1693","3.1693","3.1693"
"28018","28017","28017","28017","3.1573","3.1573","3.1573"
"28043","28042","28042","28042","3.131","3.131","3.131"
"28046","28045","28045","28045","3.1825","3.1825","3.1825"
"28055","28054","28054","28054","3.1678","3.1678","3.1678"
"28058","28057","28057","28057","3.1427","3.1427","3.1427"
"28067","28066","28066","28066","3.1282","3.1282","3.1282"
"28068","28067","28067","28067","3.1438","3.1438","3.1438"
"28079","28078","28078","28078","3.1191","3.1191","3.1191"
"28092","28091","28091","28091","3.1848","3.1848","3.1848"
"28102","28101","28101","28101","3.105","3.105","3.105"
"28117","28116","28116","28116","3.1488","3.1488","3.1488"
"28119","28118","28118","28118","3.1532","3.1532","3.1532"
"28130","28129","28129","28129","3.158","3.158","3.158"
"28138","28137","28137","28137","3.1434","3.1434","3.1434"
"28154","28153","28153","28153","3.1556","3.1556","3.1556"
"28157","28156","28156","28156","3.1336","3.1336","3.1336"
"28158","28157","28157","28157","3.1326","3.1326","3.1326"
"28160","28159","28159","28159","3.1626","3.1626","3.1626"
"28166","28165","28165","28165","3.1583","3.1583","3.1583"
"28172","28171","28171","28171","3.1363","3.1363","3.1363"
"28175","28174","28174","28174","3.1423","3.1423","3.1423"
"28194","28193","28193","28193","3.102","3.102","3.102"
"28195","28194","28194","28194","3.1393","3.1393","3.1393"
"28219","28218","28218","28218","3.1523","3.1523","3.1523"
"28220","28219","28219","28219","3.1218","3.1218","3.1218"
"28223","28222","28222","28222","3.1451","3.1451","3.1451"
"28241","28240","28240","28240","3.154","3.154","3.154"
"28258","28257","28257","28257","3.1189","3.1189","3.1189"
"28267","28266","28266","28266","3.1381","3.1381","3.1381"
"28276","28275","28275","28275","3.1616","3.1616","3.1616"
"28298","28297","28297","28297","3.1316","3.1316","3.1316"
"28305","28304","28304","28304","3.1252","3.1252","3.1252"
"28322","28321","28321","28321","3.1271","3.1271","3.1271"
"28331","28330","28330","28330","3.1347","3.1347","3.1347"
"28351","28350","28350","28350","3.1155","3.1155","3.1155"
"28353","28352","28352","28352","3.1491","3.1491","3.1491"
"28354","28353","28353","28353","3.1479","3.1479","3.1479"
"28361","28360","28360","28360","3.134","3.134","3.134"
"28376","28375","28375","28375","3.1413","3.1413","3.1413"
"28383","28382","28382","28382","3.1237","3.1237","3.1237"
"28384","28383","28383","28383","3.1264","3.1264","3.1264"
"28389","28388","28388","28388","3.1401","3.1401","3.1401"
"28405","28404","28404","28404","3.1224","3.1224","3.1224"
"28416","28415","28415","28415","3.1347","3.1347","3.1347"
"28421","28420","28420","28420","3.1239","3.1239","3.1239"
"28431","28430","28430","28430","3.1189","3.1189","3.1189"
"28435","28434","28434","28434","3.1383","3.1383","3.1383"
"28440","28439","28439","28439","3.1176","3.1176","3.1176"
"28478","28477","28477","28477","3.1203","3.1203","3.1203"
"28494","28493","28493","28493","3.1532","3.1532","3.1532"
"28502","28501","28501","28501","3.1301","3.1301","3.1301"
"28505","28504","28504","28504","3.1328","3.1328","3.1328"
"28520","28519","28519","28519","3.1469","3.1469","3.1469"
"28523","28522","28522","28522","3.1114","3.1114","3.1114"
"28533","28532","28532","28532","3.1277","3.1277","3.1277"
"28537","28536","28536","28536","3.1322","3.1322","3.1322"
"28541","28540","28540","28540","3.1324","3.1324","3.1324"
"28548","28547","28547","28547","3.0996","3.0996","3.0996"
"28595","28594","28594","28594","3.097","3.097","3.097"
"28596","28595","28595","28595","3.1279","3.1279","3.1279"
"28603","28602","28602","28602","3.1332","3.1332","3.1332"
"28604","28603","28603","28603","3.1527","3.1527","3.1527"
"28610","28609","28609","28609","3.142","3.142","3.142"
"28611","28610","28610","28610","3.1254","3.1254","3.1254"
"28623","28622","28622","28622","3.1199","3.1199","3.1199"
"28649","28648","28648","28648","3.1609","3.1609","3.1609"
"28670","28669","28669","28669","3.103","3.103","3.103"
"28671","28670","28670","28670","3.116","3.116","3.116"
"28699","28698","28698","28698","3.1245","3.1245","3.1245"
"28702","28701","28701","28701","3.1196","3.1196","3.1196"
"28704","28703","28703","28703","3.1246","3.1246","3.1246"
"28709","28708","28708","28708","3.1448","3.1448","3.1448"
"28710","28709","28709","28709","3.1152","3.1152","3.1152"
"28711","28710","28710","28710","3.1355","3.1355","3.1355"
"28717","28716","28716","28716","3.1403","3.1403","3.1403"
"28721","28720","28720","28720","3.1323","3.1323","3.1323"
"28763","28762","28762","28762","3.123","3.123","3.123"
"28780","28779","28779","28779","3.1101","3.1101","3.1101"
"28783","28782","28782","28782","3.1096","3.1096","3.1096"
"28784","28783","28783","28783","3.143","3.143","3.143"
"28795","28794","28794","28794","3.1002","3.1002","3.1002"
"28799","28798","28798","28798","3.1488","3.1488","3.1488"
"28811","28810","28810","28810","3.1264","3.1264","3.1264"
"28817","28816","28816","28816","3.1145","3.1145","3.1145"
"28818","28817","28817","28817","3.1113","3.1113","3.1113"
"28821","28820","28820","28820","3.1094","3.1094","3.1094"
"28826","28825","28825","28825","3.0914","3.0914","3.0914"
"28829","28828","28828","28828","3.1213","3.1213","3.1213"
"28841","28840","28840","28840","3.121","3.121","3.121"
"28845","28844","28844","28844","3.1258","3.1258","3.1258"
"28847","28846","28846","28846","3.1034","3.1034","3.1034"
"28857","28856","28856","28856","3.1368","3.1368","3.1368"
"28860","28859","28859","28859","3.1441","3.1441","3.1441"
"28898","28897","28897","28897","3.126","3.126","3.126"
"28956","28955","28955","28955","3.1098","3.1098","3.1098"
"28963","28962","28962","28962","3.1431","3.1431","3.1431"
"28967","28966","28966","28966","3.1192","3.1192","3.1192"
"29006","29005","29005","29005","3.131","3.131","3.131"
"29029","29028","29028","29028","3.1022","3.1022","3.1022"
"29042","29041","29041","29041","3.1243","3.1243","3.1243"
"29047","29046","29046","29046","3.135","3.135","3.135"
"29055","29054","29054","29054","3.1143","3.1143","3.1143"
"29056","29055","29055","29055","3.1149","3.1149","3.1149"
"29059","29058","29058","29058","3.1114","3.1114","3.1114"
"29062","29061","29061","29061","3.0896","3.0896","3.0896"
"29073","29072","29072","29072","3.0886","3.0886","3.0886"
"29074","29073","29073","29073","3.1148","3.1148","3.1148"
"29092","29091","29091","29091","3.1198","3.1198","3.1198"
"29129","29128","29128","29128","3.0929","3.0929","3.0929"
"29136","29135","29135","29135","3.1354","3.1354","3.1354"
"29148","29147","29147","29147","3.1535","3.1535","3.1535"
"29149","29148","29148","29148","3.1107","3.1107","3.1107"
"29210","29209","29209","29209","3.0889","3.0889","3.0889"
"29239","29238","29238","29238","3.1166","3.1166","3.1166"
"29265","29264","29264","29264","3.139","3.139","3.139"
"29277","29276","29276","29276","3.1123","3.1123","3.1123"
"29279","29278","29278","29278","3.1254","3.1254","3.1254"
"29298","29297","29297","29297","3.1453","3.1453","3.1453"
"29299","29298","29298","29298","3.1393","3.1393","3.1393"
"29313","29312","29312","29312","3.1037","3.1037","3.1037"
"29331","29330","29330","29330","3.1183","3.1183","3.1183"
"29337","29336","29336","29336","3.0952","3.0952","3.0952"
"29344","29343","29343","29343","3.1295","3.1295","3.1295"
"29352","29351","29351","29351","3.1083","3.1083","3.1083"
"29386","29385","29385","29385","3.1164","3.1164","3.1164"
"29421","29420","29420","29420","3.0967","3.0967","3.0967"
"29423","29422","29422","29422","3.1159","3.1159","3.1159"
"29437","29436","29436","29436","3.1105","3.1105","3.1105"
"29443","29442","29442","29442","3.102","3.102","3.102"
"29451","29450","29450","29450","3.1487","3.1487","3.1487"
"29452","29451","29451","29451","3.0971","3.0971","3.0971"
"29462","29461","29461","29461","3.0813","3.0813","3.0813"
"29465","29464","29464","29464","3.1117","3.1117","3.1117"
"29469","29468","29468","29468","3.1008","3.1008","3.1008"
"29474","29473","29473","29473","3.0996","3.0996","3.0996"
"29479","29478","29478","29478","3.1086","3.1086","3.1086"
"29489","29488","29488","29488","3.1104","3.1104","3.1104"
"29490","29489","29489","29489","3.1104","3.1104","3.1104"
"29492","29491","29491","29491","3.0873","3.0873","3.0873"
"29494","29493","29493","29493","3.1499","3.1499","3.1499"
"29516","29515","29515","29515","3.0975","3.0975","3.0975"
"29523","29522","29522","29522","3.1196","3.1196","3.1196"
"29528","29527","29527","29527","3.1161","3.1161","3.1161"
"29535","29534","29534","29534","3.1482","3.1482","3.1482"
"29539","29538","29538","29538","3.1032","3.1032","3.1032"
"29543","29542","29542","29542","3.0816","3.0816","3.0816"
"29552","29551","29551","29551","3.1221","3.1221","3.1221"
"29566","29565","29565","29565","3.114","3.114","3.114"
"29568","29567","29567","29567","3.0697","3.0697","3.0697"
"29584","29583","29583","29583","3.079","3.079","3.079"
"29586","29585","29585","29585","3.0985","3.0985","3.0985"
"29613","29612","29612","29612","3.0761","3.0761","3.0761"
"29615","29614","29614","29614","3.0813","3.0813","3.0813"
"29620","29619","29619","29619","3.1148","3.1148","3.1148"
"29636","29635","29635","29635","3.1042","3.1042","3.1042"
"29681","29680","29680","29680","3.1185","3.1185","3.1185"
"29682","29681","29681","29681","3.096","3.096","3.096"
"29694","29693","29693","29693","3.0935","3.0935","3.0935"
"29697","29696","29696","29696","3.1025","3.1025","3.1025"
"29699","29698","29698","29698","3.0779","3.0779","3.0779"
"29700","29699","29699","29699","3.1097","3.1097","3.1097"
"29708","29707","29707","29707","3.0912","3.0912","3.0912"
"29711","29710","29710","29710","3.0944","3.0944","3.0944"
"29718","29717","29717","29717","3.1086","3.1086","3.1086"
"29724","29723","29723","29723","3.1314","3.1314","3.1314"
"29731","29730","29730","29730","3.1107","3.1107","3.1107"
"29748","29747","29747","29747","3.1306","3.1306","3.1306"
"29750","29749","29749","29749","3.127","3.127","3.127"
"29773","29772","29772","29772","3.116","3.116","3.116"
"29777","29776","29776","29776","3.1306","3.1306","3.1306"
"29785","29784","29784","29784","3.0957","3.0957","3.0957"
"29804","29803","29803","29803","3.1093","3.1093","3.1093"
"29805","29804","29804","29804","3.1352","3.1352","3.1352"
"29807","29806","29806","29806","3.093","3.093","3.093"
"29819","29818","29818","29818","3.1107","3.1107","3.1107"
"29831","29830","29830","29830","3.1044","3.1044","3.1044"
"29840","29839","29839","29839","3.1354","3.1354","3.1354"
"29843","29842","29842","29842","3.0948","3.0948","3.0948"
"29868","29867","29867","29867","3.0994","3.0994","3.0994"
"29870","29869","29869","29869","3.0998","3.0998","3.0998"
"29882","29881","29881","29881","3.1311","3.1311","3.1311"
"29889","29888","29888","29888","3.1125","3.1125","3.1125"
"29901","29900","29900","29900","3.0812","3.0812","3.0812"
"29906","29905","29905","29905","3.1098","3.1098","3.1098"
"29911","29910","29910","29910","3.0884","3.0884","3.0884"
"29912","29911","29911","29911","3.1212","3.1212","3.1212"
"29918","29917","29917","29917","3.1169","3.1169","3.1169"
"29922","29921","29921","29921","3.0959","3.0959","3.0959"
"29924","29923","29923","29923","3.1181","3.1181","3.1181"
"29946","29945","29945","29945","3.1001","3.1001","3.1001"
"29952","29951","29951","29951","3.1146","3.1146","3.1146"
"29954","29953","29953","29953","3.1203","3.1203","3.1203"
"29977","29976","29976","29976","3.0817","3.0817","3.0817"
"29987","29986","29986","29986","3.1057","3.1057","3.1057"
"29991","29990","29990","29990","3.136","3.136","3.136"
"30008","30007","30007","30007","3.0861","3.0861","3.0861"
"30015","30014","30014","30014","3.1265","3.1265","3.1265"
"30019","30018","30018","30018","3.085","3.085","3.085"
"30036","30035","30035","30035","3.0961","3.0961","3.0961"
"30043","30042","30042","30042","3.1271","3.1271","3.1271"
"30052","30051","30051","30051","3.0978","3.0978","3.0978"
"30054","30053","30053","30053","3.104","3.104","3.104"
"30064","30063","30063","30063","3.1069","3.1069","3.1069"
"30077","30076","30076","30076","3.0956","3.0956","3.0956"
"30087","30086","30086","30086","3.098","3.098","3.098"
"30093","30092","30092","30092","3.0966","3.0966","3.0966"
"30098","30097","30097","30097","3.0961","3.0961","3.0961"
"30114","30113","30113","30113","3.1059","3.1059","3.1059"
"30141","30140","30140","30140","3.0892","3.0892","3.0892"
"30147","30146","30146","30146","3.1229","3.1229","3.1229"
"30154","30153","30153","30153","3.0933","3.0933","3.0933"
"30166","30165","30165","30165","3.0675","3.0675","3.0675"
"30169","30168","30168","30168","3.0942","3.0942","3.0942"
"30183","30182","30182","30182","3.1023","3.1023","3.1023"
"30191","30190","30190","30190","3.1068","3.1068","3.1068"
"30205","30204","30204","30204","3.0987","3.0987","3.0987"
"30215","30214","30214","30214","3.0627","3.0627","3.0627"
"30216","30215","30215","30215","3.0948","3.0948","3.0948"
"30222","30221","30221","30221","3.1248","3.1248","3.1248"
"30231","30230","30230","30230","3.0569","3.0569","3.0569"
"30259","30258","30258","30258","3.0829","3.0829","3.0829"
"30262","30261","30261","30261","3.0926","3.0926","3.0926"
"30267","30266","30266","30266","3.1031","3.1031","3.1031"
"30270","30269","30269","30269","3.0935","3.0935","3.0935"
"30271","30270","30270","30270","3.1034","3.1034","3.1034"
"30280","30279","30279","30279","3.1063","3.1063","3.1063"
"30320","30319","30319","30319","3.1102","3.1102","3.1102"
"30323","30322","30322","30322","3.0984","3.0984","3.0984"
"30340","30339","30339","30339","3.1008","3.1008","3.1008"
"30344","30343","30343","30343","3.0967","3.0967","3.0967"
"30359","30358","30358","30358","3.0963","3.0963","3.0963"
"30363","30362","30362","30362","3.0896","3.0896","3.0896"
"30384","30383","30383","30383","3.1056","3.1056","3.1056"
"30393","30392","30392","30392","3.1093","3.1093","3.1093"
"30428","30427","30427","30427","3.0922","3.0922","3.0922"
"30442","30441","30441","30441","3.0703","3.0703","3.0703"
"30445","30444","30444","30444","3.1137","3.1137","3.1137"
"30447","30446","30446","30446","3.0932","3.0932","3.0932"
"30448","30447","30447","30447","3.0902","3.0902","3.0902"
"30451","30450","30450","30450","3.1117","3.1117","3.1117"
"30464","30463","30463","30463","3.1107","3.1107","3.1107"
"30465","30464","30464","30464","3.1001","3.1001","3.1001"
"30474","30473","30473","30473","3.1151","3.1151","3.1151"
