"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - train/loss","MIN","MAX"
"17259","17258","17258","17258","3.1905","3.1905","3.1905"
"17278","17277","17277","17277","3.1798","3.1798","3.1798"
"17294","17293","17293","17293","3.1993","3.1993","3.1993"
"17296","17295","17295","17295","3.1664","3.1664","3.1664"
"17305","17304","17304","17304","3.163","3.163","3.163"
"17315","17314","17314","17314","3.1812","3.1812","3.1812"
"17319","17318","17318","17318","3.1691","3.1691","3.1691"
"17330","17329","17329","17329","3.1994","3.1994","3.1994"
"17338","17337","17337","17337","5.069","5.069","5.069"
"17361","17360","17360","17360","7.3261","7.3261","7.3261"
"17370","17369","17369","17369","7.3077","7.3077","7.3077"
"17385","17384","17384","17384","6.8045","6.8045","6.8045"
"17402","17401","17401","17401","6.5051","6.5051","6.5051"
"17411","17410","17410","17410","6.3716","6.3716","6.3716"
"17420","17419","17419","17419","6.2556","6.2556","6.2556"
"17431","17430","17430","17430","6.1745","6.1745","6.1745"
"17434","17433","17433","17433","6.069","6.069","6.069"
"17437","17436","17436","17436","5.973","5.973","5.973"
"17439","17438","17438","17438","5.9296","5.9296","5.9296"
"17452","17451","17451","17451","5.9874","5.9874","5.9874"
"17457","17456","17456","17456","5.7531","5.7531","5.7531"
"17494","17493","17493","17493","4.7639","4.7639","4.7639"
"17496","17495","17495","17495","4.691","4.691","4.691"
"17498","17497","17497","17497","4.6546","4.6546","4.6546"
"17500","17499","17499","17499","4.5782","4.5782","4.5782"
"17501","17500","17500","17500","4.5548","4.5548","4.5548"
"17515","17514","17514","17514","4.2605","4.2605","4.2605"
"17523","17522","17522","17522","4.1601","4.1601","4.1601"
"17524","17523","17523","17523","4.1435","4.1435","4.1435"
"17537","17536","17536","17536","4.058","4.058","4.058"
"17551","17550","17550","17550","3.886","3.886","3.886"
"17560","17559","17559","17559","3.7717","3.7717","3.7717"
"17564","17563","17563","17563","3.7624","3.7624","3.7624"
"17571","17570","17570","17570","3.7009","3.7009","3.7009"
"17576","17575","17575","17575","3.9815","3.9815","3.9815"
"17579","17578","17578","17578","3.9185","3.9185","3.9185"
"17584","17583","17583","17583","3.8052","3.8052","3.8052"
"17594","17593","17593","17593","3.6997","3.6997","3.6997"
"17595","17594","17594","17594","3.7101","3.7101","3.7101"
"17608","17607","17607","17607","3.5825","3.5825","3.5825"
"17622","17621","17621","17621","3.5556","3.5556","3.5556"
"17623","17622","17622","17622","3.5488","3.5488","3.5488"
"17636","17635","17635","17635","3.5036","3.5036","3.5036"
"17646","17645","17645","17645","3.4879","3.4879","3.4879"
"17647","17646","17646","17646","3.4743","3.4743","3.4743"
"17663","17662","17662","17662","3.7901","3.7901","3.7901"
"17695","17694","17694","17694","3.9432","3.9432","3.9432"
"17704","17703","17703","17703","3.8558","3.8558","3.8558"
"17706","17705","17705","17705","3.824","3.824","3.824"
"17758","17757","17757","17757","3.5309","3.5309","3.5309"
"17760","17759","17759","17759","3.4931","3.4931","3.4931"
"17782","17781","17781","17781","3.5169","3.5169","3.5169"
"17789","17788","17788","17788","3.4775","3.4775","3.4775"
"17792","17791","17791","17791","3.446","3.446","3.446"
"17796","17795","17795","17795","3.446","3.446","3.446"
"17799","17798","17798","17798","3.477","3.477","3.477"
"17807","17806","17806","17806","3.4332","3.4332","3.4332"
"17811","17810","17810","17810","3.4436","3.4436","3.4436"
"17812","17811","17811","17811","3.4403","3.4403","3.4403"
"17813","17812","17812","17812","3.4678","3.4678","3.4678"
"17815","17814","17814","17814","3.4151","3.4151","3.4151"
"17823","17822","17822","17822","3.4022","3.4022","3.4022"
"17830","17829","17829","17829","3.3726","3.3726","3.3726"
"17834","17833","17833","17833","3.4003","3.4003","3.4003"
"17868","17867","17867","17867","3.4763","3.4763","3.4763"
"17883","17882","17882","17882","3.4124","3.4124","3.4124"
"17888","17887","17887","17887","3.4222","3.4222","3.4222"
"17901","17900","17900","17900","3.3865","3.3865","3.3865"
"17909","17908","17908","17908","3.3877","3.3877","3.3877"
"17917","17916","17916","17916","3.3876","3.3876","3.3876"
"17929","17928","17928","17928","3.3349","3.3349","3.3349"
"17938","17937","17937","17937","3.3573","3.3573","3.3573"
"17944","17943","17943","17943","3.3467","3.3467","3.3467"
"17954","17953","17953","17953","3.3422","3.3422","3.3422"
"17984","17983","17983","17983","3.3253","3.3253","3.3253"
"17985","17984","17984","17984","3.3084","3.3084","3.3084"
"17988","17987","17987","17987","3.3291","3.3291","3.3291"
"17991","17990","17990","17990","3.3241","3.3241","3.3241"
"17997","17996","17996","17996","3.3231","3.3231","3.3231"
"18003","18002","18002","18002","3.3103","3.3103","3.3103"
"18004","18003","18003","18003","3.3184","3.3184","3.3184"
"18017","18016","18016","18016","3.3111","3.3111","3.3111"
"18027","18026","18026","18026","3.314","3.314","3.314"
"18030","18029","18029","18029","3.3353","3.3353","3.3353"
"18036","18035","18035","18035","3.3225","3.3225","3.3225"
"18037","18036","18036","18036","3.3138","3.3138","3.3138"
"18048","18047","18047","18047","3.2934","3.2934","3.2934"
"18057","18056","18056","18056","3.2862","3.2862","3.2862"
"18058","18057","18057","18057","3.2837","3.2837","3.2837"
"18068","18067","18067","18067","3.2668","3.2668","3.2668"
"18072","18071","18071","18071","3.3046","3.3046","3.3046"
"18080","18079","18079","18079","3.2857","3.2857","3.2857"
"18081","18080","18080","18080","3.3169","3.3169","3.3169"
"18082","18081","18081","18081","3.2861","3.2861","3.2861"
"18097","18096","18096","18096","3.2739","3.2739","3.2739"
"18098","18097","18097","18097","3.2797","3.2797","3.2797"
"18136","18135","18135","18135","3.2718","3.2718","3.2718"
"18137","18136","18136","18136","3.2982","3.2982","3.2982"
"18153","18152","18152","18152","3.2824","3.2824","3.2824"
"18161","18160","18160","18160","3.2688","3.2688","3.2688"
"18167","18166","18166","18166","3.266","3.266","3.266"
"18182","18181","18181","18181","3.2377","3.2377","3.2377"
"18185","18184","18184","18184","3.2774","3.2774","3.2774"
"18190","18189","18189","18189","3.2556","3.2556","3.2556"
"18201","18200","18200","18200","3.2715","3.2715","3.2715"
"18205","18204","18204","18204","3.2329","3.2329","3.2329"
"18208","18207","18207","18207","3.278","3.278","3.278"
"18222","18221","18221","18221","3.2707","3.2707","3.2707"
"18246","18245","18245","18245","3.2437","3.2437","3.2437"
"18255","18254","18254","18254","3.2505","3.2505","3.2505"
"18278","18277","18277","18277","3.2501","3.2501","3.2501"
"18279","18278","18278","18278","3.2558","3.2558","3.2558"
"18284","18283","18283","18283","3.2683","3.2683","3.2683"
"18291","18290","18290","18290","3.2247","3.2247","3.2247"
"18302","18301","18301","18301","3.2613","3.2613","3.2613"
"18303","18302","18302","18302","3.2493","3.2493","3.2493"
"18318","18317","18317","18317","3.2367","3.2367","3.2367"
"18319","18318","18318","18318","3.2022","3.2022","3.2022"
"18321","18320","18320","18320","3.305","3.305","3.305"
"18328","18327","18327","18327","3.2471","3.2471","3.2471"
"18345","18344","18344","18344","3.2359","3.2359","3.2359"
"18358","18357","18357","18357","3.2319","3.2319","3.2319"
"18375","18374","18374","18374","3.2293","3.2293","3.2293"
"18405","18404","18404","18404","3.2275","3.2275","3.2275"
"18407","18406","18406","18406","3.2167","3.2167","3.2167"
"18415","18414","18414","18414","3.2233","3.2233","3.2233"
"18416","18415","18415","18415","3.2191","3.2191","3.2191"
"18430","18429","18429","18429","3.2115","3.2115","3.2115"
"18433","18432","18432","18432","3.217","3.217","3.217"
"18435","18434","18434","18434","3.2365","3.2365","3.2365"
"18441","18440","18440","18440","3.2215","3.2215","3.2215"
"18449","18448","18448","18448","3.217","3.217","3.217"
"18462","18461","18461","18461","3.2289","3.2289","3.2289"
"18477","18476","18476","18476","3.2105","3.2105","3.2105"
"18485","18484","18484","18484","3.2244","3.2244","3.2244"
"18491","18490","18490","18490","3.2175","3.2175","3.2175"
"18519","18518","18518","18518","3.2113","3.2113","3.2113"
"18545","18544","18544","18544","3.1873","3.1873","3.1873"
"18547","18546","18546","18546","3.2406","3.2406","3.2406"
"18554","18553","18553","18553","3.2158","3.2158","3.2158"
"18564","18563","18563","18563","3.2018","3.2018","3.2018"
"18583","18582","18582","18582","3.2096","3.2096","3.2096"
"18589","18588","18588","18588","3.2191","3.2191","3.2191"
"18593","18592","18592","18592","3.2412","3.2412","3.2412"
"18600","18599","18599","18599","3.2029","3.2029","3.2029"
"18605","18604","18604","18604","3.2195","3.2195","3.2195"
"18621","18620","18620","18620","3.2051","3.2051","3.2051"
"18625","18624","18624","18624","3.21","3.21","3.21"
"18627","18626","18626","18626","3.2286","3.2286","3.2286"
"18652","18651","18651","18651","3.2314","3.2314","3.2314"
"18657","18656","18656","18656","3.2221","3.2221","3.2221"
"18676","18675","18675","18675","3.2013","3.2013","3.2013"
"18679","18678","18678","18678","3.1884","3.1884","3.1884"
"18683","18682","18682","18682","3.2046","3.2046","3.2046"
"18684","18683","18683","18683","3.2253","3.2253","3.2253"
"18694","18693","18693","18693","3.2355","3.2355","3.2355"
"18696","18695","18695","18695","3.2308","3.2308","3.2308"
"18699","18698","18698","18698","3.207","3.207","3.207"
"18701","18700","18700","18700","3.2133","3.2133","3.2133"
"18706","18705","18705","18705","3.1951","3.1951","3.1951"
"18708","18707","18707","18707","3.1755","3.1755","3.1755"
"18713","18712","18712","18712","3.2256","3.2256","3.2256"
"18722","18721","18721","18721","3.1935","3.1935","3.1935"
"18746","18745","18745","18745","3.1831","3.1831","3.1831"
"18753","18752","18752","18752","3.2265","3.2265","3.2265"
"18755","18754","18754","18754","3.1844","3.1844","3.1844"
"18775","18774","18774","18774","3.2113","3.2113","3.2113"
"18791","18790","18790","18790","3.1857","3.1857","3.1857"
"18814","18813","18813","18813","3.1958","3.1958","3.1958"
"18830","18829","18829","18829","3.2092","3.2092","3.2092"
"18833","18832","18832","18832","3.1803","3.1803","3.1803"
"18843","18842","18842","18842","3.2046","3.2046","3.2046"
"18847","18846","18846","18846","3.1956","3.1956","3.1956"
"18862","18861","18861","18861","3.2212","3.2212","3.2212"
"18864","18863","18863","18863","3.218","3.218","3.218"
"18894","18893","18893","18893","3.2001","3.2001","3.2001"
"18898","18897","18897","18897","3.2235","3.2235","3.2235"
"18926","18925","18925","18925","3.2362","3.2362","3.2362"
"18928","18927","18927","18927","3.1735","3.1735","3.1735"
"18929","18928","18928","18928","3.2175","3.2175","3.2175"
"18934","18933","18933","18933","3.2079","3.2079","3.2079"
"18936","18935","18935","18935","3.218","3.218","3.218"
"18953","18952","18952","18952","3.2016","3.2016","3.2016"
"18956","18955","18955","18955","3.2076","3.2076","3.2076"
"18959","18958","18958","18958","3.168","3.168","3.168"
"18982","18981","18981","18981","3.188","3.188","3.188"
"18985","18984","18984","18984","3.1868","3.1868","3.1868"
"18986","18985","18985","18985","3.1606","3.1606","3.1606"
"19021","19020","19020","19020","3.1996","3.1996","3.1996"
"19031","19030","19030","19030","3.1955","3.1955","3.1955"
"19033","19032","19032","19032","3.1795","3.1795","3.1795"
"19057","19056","19056","19056","3.1971","3.1971","3.1971"
"19071","19070","19070","19070","3.2042","3.2042","3.2042"
"19086","19085","19085","19085","3.1822","3.1822","3.1822"
"19129","19128","19128","19128","3.2036","3.2036","3.2036"
"19137","19136","19136","19136","3.1713","3.1713","3.1713"
"19147","19146","19146","19146","3.1911","3.1911","3.1911"
"19151","19150","19150","19150","3.2062","3.2062","3.2062"
"19186","19185","19185","19185","3.167","3.167","3.167"
"19194","19193","19193","19193","3.1753","3.1753","3.1753"
"19198","19197","19197","19197","3.1811","3.1811","3.1811"
"19199","19198","19198","19198","3.2148","3.2148","3.2148"
"19205","19204","19204","19204","3.2233","3.2233","3.2233"
"19211","19210","19210","19210","3.1834","3.1834","3.1834"
"19212","19211","19211","19211","3.1998","3.1998","3.1998"
"19224","19223","19223","19223","3.1676","3.1676","3.1676"
"19240","19239","19239","19239","3.1635","3.1635","3.1635"
"19263","19262","19262","19262","3.1895","3.1895","3.1895"
"19267","19266","19266","19266","3.1724","3.1724","3.1724"
"19272","19271","19271","19271","3.1979","3.1979","3.1979"
"19276","19275","19275","19275","3.1891","3.1891","3.1891"
"19282","19281","19281","19281","3.1866","3.1866","3.1866"
"19283","19282","19282","19282","3.1874","3.1874","3.1874"
"19290","19289","19289","19289","3.1992","3.1992","3.1992"
"19305","19304","19304","19304","3.1901","3.1901","3.1901"
"19339","19338","19338","19338","3.1928","3.1928","3.1928"
"19343","19342","19342","19342","3.1995","3.1995","3.1995"
"19346","19345","19345","19345","3.1618","3.1618","3.1618"
"19353","19352","19352","19352","3.1833","3.1833","3.1833"
"19355","19354","19354","19354","3.1936","3.1936","3.1936"
"19356","19355","19355","19355","3.1951","3.1951","3.1951"
"19357","19356","19356","19356","3.1678","3.1678","3.1678"
"19363","19362","19362","19362","3.2009","3.2009","3.2009"
"19369","19368","19368","19368","3.1756","3.1756","3.1756"
"19381","19380","19380","19380","3.1762","3.1762","3.1762"
"19432","19431","19431","19431","3.1868","3.1868","3.1868"
"19434","19433","19433","19433","3.1978","3.1978","3.1978"
"19442","19441","19441","19441","3.1979","3.1979","3.1979"
"19449","19448","19448","19448","3.1913","3.1913","3.1913"
"19452","19451","19451","19451","3.1643","3.1643","3.1643"
"19484","19483","19483","19483","3.1859","3.1859","3.1859"
"19489","19488","19488","19488","3.1806","3.1806","3.1806"
"19514","19513","19513","19513","3.2155","3.2155","3.2155"
"19523","19522","19522","19522","3.1962","3.1962","3.1962"
"19530","19529","19529","19529","3.1829","3.1829","3.1829"
"19532","19531","19531","19531","3.22","3.22","3.22"
"19538","19537","19537","19537","3.2041","3.2041","3.2041"
"19539","19538","19538","19538","3.1915","3.1915","3.1915"
"19558","19557","19557","19557","3.1689","3.1689","3.1689"
"19560","19559","19559","19559","3.2146","3.2146","3.2146"
"19562","19561","19561","19561","3.1581","3.1581","3.1581"
"19564","19563","19563","19563","3.1911","3.1911","3.1911"
"19565","19564","19564","19564","3.1553","3.1553","3.1553"
"19575","19574","19574","19574","3.2127","3.2127","3.2127"
"19583","19582","19582","19582","3.1834","3.1834","3.1834"
"19584","19583","19583","19583","3.1869","3.1869","3.1869"
"19589","19588","19588","19588","3.1897","3.1897","3.1897"
"19592","19591","19591","19591","3.1898","3.1898","3.1898"
"19593","19592","19592","19592","3.1772","3.1772","3.1772"
"19595","19594","19594","19594","3.1706","3.1706","3.1706"
"19600","19599","19599","19599","3.1509","3.1509","3.1509"
"19605","19604","19604","19604","3.1456","3.1456","3.1456"
"19626","19625","19625","19625","3.1969","3.1969","3.1969"
"19639","19638","19638","19638","3.2112","3.2112","3.2112"
"19676","19675","19675","19675","3.1859","3.1859","3.1859"
"19677","19676","19676","19676","3.1758","3.1758","3.1758"
"19697","19696","19696","19696","3.17","3.17","3.17"
"19715","19714","19714","19714","3.1854","3.1854","3.1854"
"19719","19718","19718","19718","3.1507","3.1507","3.1507"
"19725","19724","19724","19724","3.1843","3.1843","3.1843"
"19752","19751","19751","19751","3.1914","3.1914","3.1914"
"19754","19753","19753","19753","3.1715","3.1715","3.1715"
"19768","19767","19767","19767","3.195","3.195","3.195"
"19774","19773","19773","19773","3.1844","3.1844","3.1844"
"19781","19780","19780","19780","3.1735","3.1735","3.1735"
"19793","19792","19792","19792","3.1783","3.1783","3.1783"
"19796","19795","19795","19795","3.1703","3.1703","3.1703"
"19804","19803","19803","19803","3.1849","3.1849","3.1849"
"19809","19808","19808","19808","3.1953","3.1953","3.1953"
"19810","19809","19809","19809","3.1882","3.1882","3.1882"
"19816","19815","19815","19815","3.1737","3.1737","3.1737"
"19828","19827","19827","19827","3.1737","3.1737","3.1737"
"19835","19834","19834","19834","3.1732","3.1732","3.1732"
"19839","19838","19838","19838","3.1489","3.1489","3.1489"
"19855","19854","19854","19854","3.161","3.161","3.161"
"19876","19875","19875","19875","3.1829","3.1829","3.1829"
"19877","19876","19876","19876","3.1833","3.1833","3.1833"
"19886","19885","19885","19885","3.1648","3.1648","3.1648"
"19887","19886","19886","19886","3.2064","3.2064","3.2064"
"19902","19901","19901","19901","3.1766","3.1766","3.1766"
"19903","19902","19902","19902","3.2001","3.2001","3.2001"
"19927","19926","19926","19926","3.1677","3.1677","3.1677"
"19929","19928","19928","19928","3.1733","3.1733","3.1733"
"19940","19939","19939","19939","3.155","3.155","3.155"
"19944","19943","19943","19943","3.1965","3.1965","3.1965"
"19949","19948","19948","19948","3.1688","3.1688","3.1688"
"19954","19953","19953","19953","3.1631","3.1631","3.1631"
"19989","19988","19988","19988","3.1736","3.1736","3.1736"
"19994","19993","19993","19993","3.203","3.203","3.203"
"19997","19996","19996","19996","3.1573","3.1573","3.1573"
"20010","20009","20009","20009","3.1728","3.1728","3.1728"
"20011","20010","20010","20010","3.1891","3.1891","3.1891"
"20018","20017","20017","20017","3.1646","3.1646","3.1646"
"20021","20020","20020","20020","3.2004","3.2004","3.2004"
"20030","20029","20029","20029","3.1671","3.1671","3.1671"
"20033","20032","20032","20032","3.1688","3.1688","3.1688"
"20035","20034","20034","20034","3.1661","3.1661","3.1661"
"20045","20044","20044","20044","3.1512","3.1512","3.1512"
"20050","20049","20049","20049","3.1626","3.1626","3.1626"
"20051","20050","20050","20050","3.168","3.168","3.168"
"20078","20077","20077","20077","3.1763","3.1763","3.1763"
"20084","20083","20083","20083","3.1536","3.1536","3.1536"
"20085","20084","20084","20084","3.187","3.187","3.187"
"20101","20100","20100","20100","3.1513","3.1513","3.1513"
"20121","20120","20120","20120","3.1847","3.1847","3.1847"
"20128","20127","20127","20127","3.1896","3.1896","3.1896"
"20137","20136","20136","20136","3.1439","3.1439","3.1439"
"20146","20145","20145","20145","3.1912","3.1912","3.1912"
"20156","20155","20155","20155","3.1764","3.1764","3.1764"
"20187","20186","20186","20186","3.1688","3.1688","3.1688"
"20195","20194","20194","20194","3.2137","3.2137","3.2137"
"20206","20205","20205","20205","3.1267","3.1267","3.1267"
"20212","20211","20211","20211","3.1707","3.1707","3.1707"
"20217","20216","20216","20216","3.1573","3.1573","3.1573"
"20228","20227","20227","20227","3.1519","3.1519","3.1519"
"20234","20233","20233","20233","3.1813","3.1813","3.1813"
"20237","20236","20236","20236","3.1622","3.1622","3.1622"
"20247","20246","20246","20246","3.1939","3.1939","3.1939"
"20252","20251","20251","20251","3.1741","3.1741","3.1741"
"20263","20262","20262","20262","3.1682","3.1682","3.1682"
"20283","20282","20282","20282","3.1857","3.1857","3.1857"
"20284","20283","20283","20283","3.1652","3.1652","3.1652"
"20292","20291","20291","20291","3.1711","3.1711","3.1711"
"20293","20292","20292","20292","3.1813","3.1813","3.1813"
"20307","20306","20306","20306","3.1788","3.1788","3.1788"
"20319","20318","20318","20318","3.1768","3.1768","3.1768"
"20324","20323","20323","20323","3.1793","3.1793","3.1793"
"20329","20328","20328","20328","3.1441","3.1441","3.1441"
"20336","20335","20335","20335","3.1627","3.1627","3.1627"
"20337","20336","20336","20336","3.1626","3.1626","3.1626"
"20343","20342","20342","20342","3.1781","3.1781","3.1781"
"20344","20343","20343","20343","3.1614","3.1614","3.1614"
"20356","20355","20355","20355","3.1502","3.1502","3.1502"
"20369","20368","20368","20368","3.199","3.199","3.199"
"20370","20369","20369","20369","3.2005","3.2005","3.2005"
"20371","20370","20370","20370","3.1663","3.1663","3.1663"
"20383","20382","20382","20382","3.1772","3.1772","3.1772"
"20397","20396","20396","20396","3.188","3.188","3.188"
"20401","20400","20400","20400","3.166","3.166","3.166"
"20402","20401","20401","20401","3.1618","3.1618","3.1618"
"20409","20408","20408","20408","3.1657","3.1657","3.1657"
"20412","20411","20411","20411","3.1331","3.1331","3.1331"
"20459","20458","20458","20458","3.1471","3.1471","3.1471"
"20462","20461","20461","20461","3.1632","3.1632","3.1632"
"20467","20466","20466","20466","3.1605","3.1605","3.1605"
"20468","20467","20467","20467","3.1779","3.1779","3.1779"
"20472","20471","20471","20471","3.177","3.177","3.177"
"20483","20482","20482","20482","3.1681","3.1681","3.1681"
"20488","20487","20487","20487","3.1703","3.1703","3.1703"
"20495","20494","20494","20494","3.1471","3.1471","3.1471"
"20504","20503","20503","20503","3.1839","3.1839","3.1839"
"20531","20530","20530","20530","3.1794","3.1794","3.1794"
"20534","20533","20533","20533","3.1734","3.1734","3.1734"
"20535","20534","20534","20534","3.1592","3.1592","3.1592"
"20538","20537","20537","20537","3.14","3.14","3.14"
"20541","20540","20540","20540","3.1433","3.1433","3.1433"
"20575","20574","20574","20574","3.1874","3.1874","3.1874"
"20599","20598","20598","20598","3.203","3.203","3.203"
"20601","20600","20600","20600","3.1703","3.1703","3.1703"
"20617","20616","20616","20616","3.152","3.152","3.152"
"20638","20637","20637","20637","3.1487","3.1487","3.1487"
"20643","20642","20642","20642","3.161","3.161","3.161"
"20648","20647","20647","20647","3.1364","3.1364","3.1364"
"20666","20665","20665","20665","3.1604","3.1604","3.1604"
"20680","20679","20679","20679","3.163","3.163","3.163"
"20687","20686","20686","20686","3.1345","3.1345","3.1345"
"20690","20689","20689","20689","3.168","3.168","3.168"
"20697","20696","20696","20696","3.1512","3.1512","3.1512"
"20713","20712","20712","20712","3.1586","3.1586","3.1586"
"20716","20715","20715","20715","3.15","3.15","3.15"
"20729","20728","20728","20728","3.1652","3.1652","3.1652"
"20730","20729","20729","20729","3.1871","3.1871","3.1871"
"20733","20732","20732","20732","3.2165","3.2165","3.2165"
"20743","20742","20742","20742","8.6311","8.6311","8.6311"
"20747","20746","20746","20746","7.6006","7.6006","7.6006"
"20755","20754","20754","20754","7.1641","7.1641","7.1641"
"20762","20761","20761","20761","6.7029","6.7029","6.7029"
"20777","20776","20776","20776","6.2445","6.2445","6.2445"
"20778","20777","20777","20777","6.2101","6.2101","6.2101"
"20791","20790","20790","20790","6.2046","6.2046","6.2046"
"20802","20801","20801","20801","5.9018","5.9018","5.9018"
"20819","20818","20818","20818","5.6302","5.6302","5.6302"
"20827","20826","20826","20826","5.1712","5.1712","5.1712"
"20833","20832","20832","20832","4.9244","4.9244","4.9244"
"20835","20834","20834","20834","4.8785","4.8785","4.8785"
"20849","20848","20848","20848","4.6364","4.6364","4.6364"
"20856","20855","20855","20855","4.3945","4.3945","4.3945"
"20877","20876","20876","20876","4.1565","4.1565","4.1565"
"20888","20887","20887","20887","3.9766","3.9766","3.9766"
"20895","20894","20894","20894","3.8976","3.8976","3.8976"
"20907","20906","20906","20906","3.8822","3.8822","3.8822"
"20908","20907","20907","20907","3.8308","3.8308","3.8308"
"20917","20916","20916","20916","3.7572","3.7572","3.7572"
"20924","20923","20923","20923","3.7118","3.7118","3.7118"
"20943","20942","20942","20942","3.6613","3.6613","3.6613"
"20950","20949","20949","20949","3.5909","3.5909","3.5909"
"20955","20954","20954","20954","3.5542","3.5542","3.5542"
"20957","20956","20956","20956","3.5447","3.5447","3.5447"
"20958","20957","20957","20957","3.5792","3.5792","3.5792"
"20965","20964","20964","20964","3.5335","3.5335","3.5335"
"20994","20993","20993","20993","3.6929","3.6929","3.6929"
"21001","21000","21000","21000","3.5575","3.5575","3.5575"
"21029","21028","21028","21028","3.4426","3.4426","3.4426"
"21036","21035","21035","21035","3.3924","3.3924","3.3924"
"21058","21057","21057","21057","3.3636","3.3636","3.3636"
"21069","21068","21068","21068","3.3558","3.3558","3.3558"
"21073","21072","21072","21072","3.3546","3.3546","3.3546"
"21082","21081","21081","21081","3.342","3.342","3.342"
"21096","21095","21095","21095","3.3583","3.3583","3.3583"
"21124","21123","21123","21123","3.2998","3.2998","3.2998"
"21128","21127","21127","21127","3.3164","3.3164","3.3164"
"21132","21131","21131","21131","3.3037","3.3037","3.3037"
"21152","21151","21151","21151","3.2718","3.2718","3.2718"
"21163","21162","21162","21162","3.2668","3.2668","3.2668"
"21173","21172","21172","21172","3.2739","3.2739","3.2739"
"21179","21178","21178","21178","3.284","3.284","3.284"
"21185","21184","21184","21184","3.2672","3.2672","3.2672"
"21190","21189","21189","21189","3.2695","3.2695","3.2695"
"21197","21196","21196","21196","3.2671","3.2671","3.2671"
"21218","21217","21217","21217","3.2419","3.2419","3.2419"
"21235","21234","21234","21234","3.2515","3.2515","3.2515"
"21242","21241","21241","21241","3.2343","3.2343","3.2343"
"21245","21244","21244","21244","3.2406","3.2406","3.2406"
"21249","21248","21248","21248","3.2496","3.2496","3.2496"
"21269","21268","21268","21268","3.2498","3.2498","3.2498"
"21297","21296","21296","21296","3.2321","3.2321","3.2321"
"21310","21309","21309","21309","3.2055","3.2055","3.2055"
"21314","21313","21313","21313","3.2203","3.2203","3.2203"
"21317","21316","21316","21316","3.2458","3.2458","3.2458"
"21329","21328","21328","21328","3.216","3.216","3.216"
"21332","21331","21331","21331","3.2338","3.2338","3.2338"
"21342","21341","21341","21341","3.2287","3.2287","3.2287"
"21347","21346","21346","21346","3.2402","3.2402","3.2402"
"21348","21347","21347","21347","3.2307","3.2307","3.2307"
"21358","21357","21357","21357","3.2023","3.2023","3.2023"
"21378","21377","21377","21377","3.2089","3.2089","3.2089"
"21382","21381","21381","21381","3.1865","3.1865","3.1865"
"21386","21385","21385","21385","3.2112","3.2112","3.2112"
"21415","21414","21414","21414","3.1927","3.1927","3.1927"
"21455","21454","21454","21454","3.1901","3.1901","3.1901"
"21472","21471","21471","21471","3.2217","3.2217","3.2217"
"21474","21473","21473","21473","3.2013","3.2013","3.2013"
"21484","21483","21483","21483","3.2117","3.2117","3.2117"
"21485","21484","21484","21484","3.2055","3.2055","3.2055"
"21487","21486","21486","21486","3.2001","3.2001","3.2001"
"21492","21491","21491","21491","3.202","3.202","3.202"
"21494","21493","21493","21493","3.2431","3.2431","3.2431"
"21499","21498","21498","21498","3.1904","3.1904","3.1904"
"21516","21515","21515","21515","3.2116","3.2116","3.2116"
"21517","21516","21516","21516","3.2","3.2","3.2"
"21519","21518","21518","21518","3.2","3.2","3.2"
"21532","21531","21531","21531","3.2026","3.2026","3.2026"
"21544","21543","21543","21543","3.1954","3.1954","3.1954"
"21546","21545","21545","21545","3.1906","3.1906","3.1906"
"21560","21559","21559","21559","3.1957","3.1957","3.1957"
"21563","21562","21562","21562","3.2152","3.2152","3.2152"
"21565","21564","21564","21564","3.2319","3.2319","3.2319"
"21566","21565","21565","21565","3.2128","3.2128","3.2128"
"21567","21566","21566","21566","3.1995","3.1995","3.1995"
"21593","21592","21592","21592","3.2099","3.2099","3.2099"
"21607","21606","21606","21606","3.191","3.191","3.191"
"21617","21616","21616","21616","3.1933","3.1933","3.1933"
"21629","21628","21628","21628","3.193","3.193","3.193"
"21636","21635","21635","21635","3.2027","3.2027","3.2027"
"21650","21649","21649","21649","3.207","3.207","3.207"
"21656","21655","21655","21655","3.1891","3.1891","3.1891"
"21661","21660","21660","21660","3.203","3.203","3.203"
"21663","21662","21662","21662","3.19","3.19","3.19"
"21670","21669","21669","21669","3.2007","3.2007","3.2007"
"21672","21671","21671","21671","3.1492","3.1492","3.1492"
"21692","21691","21691","21691","3.1941","3.1941","3.1941"
"21698","21697","21697","21697","3.1431","3.1431","3.1431"
"21703","21702","21702","21702","3.175","3.175","3.175"
"21705","21704","21704","21704","3.1709","3.1709","3.1709"
"21719","21718","21718","21718","3.1782","3.1782","3.1782"
"21772","21771","21771","21771","3.1749","3.1749","3.1749"
"21773","21772","21772","21772","3.2082","3.2082","3.2082"
"21786","21785","21785","21785","3.1848","3.1848","3.1848"
"21794","21793","21793","21793","3.1937","3.1937","3.1937"
"21815","21814","21814","21814","3.1618","3.1618","3.1618"
"21826","21825","21825","21825","3.1821","3.1821","3.1821"
