"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - train/loss","MIN","MAX"
"1139","1138","1138","1138","3.981","3.981","3.981"
"1161","1160","1160","1160","3.9431","3.9431","3.9431"
"1177","1176","1176","1176","3.9089","3.9089","3.9089"
"1180","1179","1179","1179","3.9759","3.9759","3.9759"
"1193","1192","1192","1192","3.9293","3.9293","3.9293"
"1195","1194","1194","1194","3.9094","3.9094","3.9094"
"1204","1203","1203","1203","3.9256","3.9256","3.9256"
"1206","1205","1205","1205","3.9597","3.9597","3.9597"
"1223","1222","1222","1222","3.9009","3.9009","3.9009"
"1229","1228","1228","1228","3.9016","3.9016","3.9016"
"1240","1239","1239","1239","3.8737","3.8737","3.8737"
"1241","1240","1240","1240","3.8973","3.8973","3.8973"
"1242","1241","1241","1241","3.8953","3.8953","3.8953"
"1243","1242","1242","1242","3.875","3.875","3.875"
"1248","1247","1247","1247","3.8873","3.8873","3.8873"
"1255","1254","1254","1254","3.8372","3.8372","3.8372"
"1259","1258","1258","1258","3.8578","3.8578","3.8578"
"1294","1293","1293","1293","3.8576","3.8576","3.8576"
"1296","1295","1295","1295","3.8514","3.8514","3.8514"
"1305","1304","1304","1304","3.8553","3.8553","3.8553"
"1312","1311","1311","1311","3.8339","3.8339","3.8339"
"1314","1313","1313","1313","3.8202","3.8202","3.8202"
"1324","1323","1323","1323","3.8291","3.8291","3.8291"
"1325","1324","1324","1324","3.8371","3.8371","3.8371"
"1334","1333","1333","1333","3.8136","3.8136","3.8136"
"1346","1345","1345","1345","3.8352","3.8352","3.8352"
"1350","1349","1349","1349","3.8285","3.8285","3.8285"
"1353","1352","1352","1352","3.8193","3.8193","3.8193"
"1355","1354","1354","1354","3.8269","3.8269","3.8269"
"1364","1363","1363","1363","3.8236","3.8236","3.8236"
"1392","1391","1391","1391","3.8452","3.8452","3.8452"
"1401","1400","1400","1400","3.8146","3.8146","3.8146"
"1409","1408","1408","1408","3.8178","3.8178","3.8178"
"1417","1416","1416","1416","3.7861","3.7861","3.7861"
"1420","1419","1419","1419","3.8","3.8","3.8"
"1433","1432","1432","1432","3.7666","3.7666","3.7666"
"1444","1443","1443","1443","3.7836","3.7836","3.7836"
"1458","1457","1457","1457","3.7691","3.7691","3.7691"
"1470","1469","1469","1469","3.7869","3.7869","3.7869"
"1488","1487","1487","1487","3.7715","3.7715","3.7715"
"1510","1509","1509","1509","3.7526","3.7526","3.7526"
"1512","1511","1511","1511","3.7597","3.7597","3.7597"
"1521","1520","1520","1520","3.754","3.754","3.754"
"1522","1521","1521","1521","3.7476","3.7476","3.7476"
"1534","1533","1533","1533","3.7451","3.7451","3.7451"
"1551","1550","1550","1550","3.7169","3.7169","3.7169"
"1568","1567","1567","1567","3.7244","3.7244","3.7244"
"1569","1568","1568","1568","3.7234","3.7234","3.7234"
"1587","1586","1586","1586","3.7211","3.7211","3.7211"
"1594","1593","1593","1593","3.7605","3.7605","3.7605"
"1610","1609","1609","1609","3.7768","3.7768","3.7768"
"1616","1615","1615","1615","3.7827","3.7827","3.7827"
"1620","1619","1619","1619","3.7492","3.7492","3.7492"
"1651","1650","1650","1650","3.6971","3.6971","3.6971"
"1653","1652","1652","1652","3.7012","3.7012","3.7012"
"1655","1654","1654","1654","3.6967","3.6967","3.6967"
"1659","1658","1658","1658","3.6896","3.6896","3.6896"
"1665","1664","1664","1664","3.6809","3.6809","3.6809"
"1673","1672","1672","1672","3.6716","3.6716","3.6716"
"1684","1683","1683","1683","3.6761","3.6761","3.6761"
"1695","1694","1694","1694","3.6937","3.6937","3.6937"
"1698","1697","1697","1697","3.656","3.656","3.656"
"1700","1699","1699","1699","3.6793","3.6793","3.6793"
"1705","1704","1704","1704","3.6602","3.6602","3.6602"
"1708","1707","1707","1707","3.6571","3.6571","3.6571"
"1710","1709","1709","1709","3.6281","3.6281","3.6281"
"1732","1731","1731","1731","3.6799","3.6799","3.6799"
"1735","1734","1734","1734","3.6405","3.6405","3.6405"
"1736","1735","1735","1735","3.6415","3.6415","3.6415"
"1740","1739","1739","1739","3.6688","3.6688","3.6688"
"1755","1754","1754","1754","3.6056","3.6056","3.6056"
"1777","1776","1776","1776","3.6767","3.6767","3.6767"
"1796","1795","1795","1795","3.6732","3.6732","3.6732"
"1830","1829","1829","1829","3.6444","3.6444","3.6444"
"1846","1845","1845","1845","3.641","3.641","3.641"
"1900","1899","1899","1899","3.6011","3.6011","3.6011"
"1904","1903","1903","1903","3.637","3.637","3.637"
"1907","1906","1906","1906","3.6227","3.6227","3.6227"
"1933","1932","1932","1932","3.5917","3.5917","3.5917"
"1968","1967","1967","1967","3.5947","3.5947","3.5947"
"1969","1968","1968","1968","3.593","3.593","3.593"
"1983","1982","1982","1982","3.5866","3.5866","3.5866"
"2001","2000","2000","2000","3.5934","3.5934","3.5934"
"2016","2015","2015","2015","3.6027","3.6027","3.6027"
"2020","2019","2019","2019","3.6165","3.6165","3.6165"
"2032","2031","2031","2031","3.5693","3.5693","3.5693"
"2064","2063","2063","2063","3.566","3.566","3.566"
"2066","2065","2065","2065","3.5669","3.5669","3.5669"
"2073","2072","2072","2072","3.5662","3.5662","3.5662"
"2089","2088","2088","2088","3.5558","3.5558","3.5558"
"2098","2097","2097","2097","3.5717","3.5717","3.5717"
"2112","2111","2111","2111","3.5655","3.5655","3.5655"
"2115","2114","2114","2114","3.5452","3.5452","3.5452"
"2118","2117","2117","2117","3.5565","3.5565","3.5565"
"2135","2134","2134","2134","3.5511","3.5511","3.5511"
"2139","2138","2138","2138","3.569","3.569","3.569"
"2141","2140","2140","2140","3.551","3.551","3.551"
"2145","2144","2144","2144","3.5585","3.5585","3.5585"
"2152","2151","2151","2151","3.546","3.546","3.546"
"2157","2156","2156","2156","3.5278","3.5278","3.5278"
"2171","2170","2170","2170","3.5569","3.5569","3.5569"
"2178","2177","2177","2177","3.5262","3.5262","3.5262"
"2184","2183","2183","2183","3.5331","3.5331","3.5331"
"2192","2191","2191","2191","3.5597","3.5597","3.5597"
"2194","2193","2193","2193","3.5722","3.5722","3.5722"
"2202","2201","2201","2201","3.5379","3.5379","3.5379"
"2209","2208","2208","2208","3.5435","3.5435","3.5435"
"2213","2212","2212","2212","3.5355","3.5355","3.5355"
"2217","2216","2216","2216","3.5158","3.5158","3.5158"
"2223","2222","2222","2222","3.5337","3.5337","3.5337"
"2230","2229","2229","2229","3.537","3.537","3.537"
"2237","2236","2236","2236","3.5455","3.5455","3.5455"
"2241","2240","2240","2240","3.5291","3.5291","3.5291"
"2244","2243","2243","2243","3.5221","3.5221","3.5221"
"2251","2250","2250","2250","3.5517","3.5517","3.5517"
"2260","2259","2259","2259","3.5528","3.5528","3.5528"
"2287","2286","2286","2286","3.5585","3.5585","3.5585"
"2288","2287","2287","2287","3.5816","3.5816","3.5816"
"2319","2318","2318","2318","3.5152","3.5152","3.5152"
"2323","2322","2322","2322","3.4869","3.4869","3.4869"
"2327","2326","2326","2326","3.5108","3.5108","3.5108"
"2328","2327","2327","2327","3.5106","3.5106","3.5106"
"2331","2330","2330","2330","3.5321","3.5321","3.5321"
"2354","2353","2353","2353","3.5328","3.5328","3.5328"
"2356","2355","2355","2355","3.5153","3.5153","3.5153"
"2368","2367","2367","2367","3.4842","3.4842","3.4842"
"2371","2370","2370","2370","3.5009","3.5009","3.5009"
"2376","2375","2375","2375","3.5121","3.5121","3.5121"
"2386","2385","2385","2385","3.4735","3.4735","3.4735"
"2387","2386","2386","2386","3.4685","3.4685","3.4685"
"2399","2398","2398","2398","3.5014","3.5014","3.5014"
"2400","2399","2399","2399","3.5222","3.5222","3.5222"
"2414","2413","2413","2413","3.5074","3.5074","3.5074"
"2449","2448","2448","2448","3.5028","3.5028","3.5028"
"2458","2457","2457","2457","3.469","3.469","3.469"
"2461","2460","2460","2460","3.476","3.476","3.476"
"2466","2465","2465","2465","3.4765","3.4765","3.4765"
"2479","2478","2478","2478","3.4695","3.4695","3.4695"
"2492","2491","2491","2491","3.5021","3.5021","3.5021"
"2502","2501","2501","2501","3.4869","3.4869","3.4869"
"2510","2509","2509","2509","3.488","3.488","3.488"
"2525","2524","2524","2524","3.4954","3.4954","3.4954"
"2529","2528","2528","2528","3.4768","3.4768","3.4768"
"2532","2531","2531","2531","3.4605","3.4605","3.4605"
"2536","2535","2535","2535","3.4782","3.4782","3.4782"
"2563","2562","2562","2562","3.4549","3.4549","3.4549"
"2568","2567","2567","2567","3.4673","3.4673","3.4673"
"2574","2573","2573","2573","3.4963","3.4963","3.4963"
"2575","2574","2574","2574","3.4411","3.4411","3.4411"
"2583","2582","2582","2582","3.4784","3.4784","3.4784"
"2601","2600","2600","2600","3.5011","3.5011","3.5011"
"2626","2625","2625","2625","3.4371","3.4371","3.4371"
"2672","2671","2671","2671","3.4659","3.4659","3.4659"
"2690","2689","2689","2689","3.4624","3.4624","3.4624"
"2706","2705","2705","2705","3.4362","3.4362","3.4362"
"2712","2711","2711","2711","3.4348","3.4348","3.4348"
"2733","2732","2732","2732","3.461","3.461","3.461"
"2752","2751","2751","2751","3.4643","3.4643","3.4643"
"2779","2778","2778","2778","3.4175","3.4175","3.4175"
"2780","2779","2779","2779","3.4212","3.4212","3.4212"
"2785","2784","2784","2784","3.4467","3.4467","3.4467"
"2808","2807","2807","2807","3.4161","3.4161","3.4161"
"2831","2830","2830","2830","3.4428","3.4428","3.4428"
"2835","2834","2834","2834","3.4237","3.4237","3.4237"
"2842","2841","2841","2841","3.4165","3.4165","3.4165"
"2850","2849","2849","2849","3.4106","3.4106","3.4106"
"2860","2859","2859","2859","3.4376","3.4376","3.4376"
"2862","2861","2861","2861","3.4274","3.4274","3.4274"
"2870","2869","2869","2869","3.4451","3.4451","3.4451"
"2876","2875","2875","2875","3.4267","3.4267","3.4267"
"2880","2879","2879","2879","3.4129","3.4129","3.4129"
"2883","2882","2882","2882","3.4214","3.4214","3.4214"
"2906","2905","2905","2905","3.4248","3.4248","3.4248"
"2926","2925","2925","2925","3.4199","3.4199","3.4199"
"2933","2932","2932","2932","3.4396","3.4396","3.4396"
"2940","2939","2939","2939","3.4459","3.4459","3.4459"
"2944","2943","2943","2943","3.4365","3.4365","3.4365"
"2962","2961","2961","2961","3.4152","3.4152","3.4152"
"2968","2967","2967","2967","3.4131","3.4131","3.4131"
"2985","2984","2984","2984","3.4375","3.4375","3.4375"
"2990","2989","2989","2989","3.3744","3.3744","3.3744"
"3002","3001","3001","3001","3.4235","3.4235","3.4235"
"3008","3007","3007","3007","3.4213","3.4213","3.4213"
"3014","3013","3013","3013","3.394","3.394","3.394"
"3023","3022","3022","3022","3.4269","3.4269","3.4269"
"3024","3023","3023","3023","3.4243","3.4243","3.4243"
"3025","3024","3024","3024","3.4094","3.4094","3.4094"
"3043","3042","3042","3042","3.3999","3.3999","3.3999"
"3053","3052","3052","3052","3.4507","3.4507","3.4507"
"3055","3054","3054","3054","3.4252","3.4252","3.4252"
"3057","3056","3056","3056","3.4407","3.4407","3.4407"
"3062","3061","3061","3061","3.4847","3.4847","3.4847"
"3068","3067","3067","3067","3.5538","3.5538","3.5538"
"3072","3071","3071","3071","4.4939","4.4939","4.4939"
"3095","3094","3094","3094","7.6301","7.6301","7.6301"
"3103","3102","3102","3102","7.386","7.386","7.386"
"3107","3106","3106","3106","7.3199","7.3199","7.3199"
"3110","3109","3109","3109","7.2585","7.2585","7.2585"
"3124","3123","3123","3123","7.1242","7.1242","7.1242"
"3138","3137","3137","3137","7.056","7.056","7.056"
"3146","3145","3145","3145","7.0075","7.0075","7.0075"
"3160","3159","3159","3159","6.8894","6.8894","6.8894"
"3171","3170","3170","3170","6.8259","6.8259","6.8259"
"3173","3172","3172","3172","6.8012","6.8012","6.8012"
"3184","3183","3183","3183","6.7075","6.7075","6.7075"
"3204","3203","3203","3203","6.5278","6.5278","6.5278"
"3219","3218","3218","3218","6.4432","6.4432","6.4432"
"3224","3223","3223","3223","6.4026","6.4026","6.4026"
"3227","3226","3226","3226","6.3882","6.3882","6.3882"
"3231","3230","3230","3230","6.3731","6.3731","6.3731"
"3232","3231","3231","3231","6.3595","6.3595","6.3595"
"3237","3236","3236","3236","6.3675","6.3675","6.3675"
"3244","3243","3243","3243","6.2945","6.2945","6.2945"
"3256","3255","3255","3255","6.2123","6.2123","6.2123"
"3267","3266","3266","3266","6.2408","6.2408","6.2408"
"3299","3298","3298","3298","6.0617","6.0617","6.0617"
"3306","3305","3305","3305","6.0025","6.0025","6.0025"
"3307","3306","3306","3306","5.9951","5.9951","5.9951"
"3324","3323","3323","3323","5.9311","5.9311","5.9311"
"3328","3327","3327","3327","5.9103","5.9103","5.9103"
"3332","3331","3331","3331","5.859","5.859","5.859"
"3335","3334","3334","3334","5.8427","5.8427","5.8427"
"3338","3337","3337","3337","5.8096","5.8096","5.8096"
"3340","3339","3339","3339","5.7875","5.7875","5.7875"
"3346","3345","3345","3345","5.7858","5.7858","5.7858"
"3350","3349","3349","3349","5.7837","5.7837","5.7837"
"3354","3353","3353","3353","5.8329","5.8329","5.8329"
"3361","3360","3360","3360","5.7428","5.7428","5.7428"
"3362","3361","3361","3361","5.7483","5.7483","5.7483"
"3375","3374","3374","3374","5.629","5.629","5.629"
"3379","3378","3378","3378","5.6424","5.6424","5.6424"
"3380","3379","3379","3379","5.6571","5.6571","5.6571"
"3384","3383","3383","3383","5.6282","5.6282","5.6282"
"3395","3394","3394","3394","5.5416","5.5416","5.5416"
"3396","3395","3395","3395","5.5127","5.5127","5.5127"
"3399","3398","3398","3398","5.5108","5.5108","5.5108"
"3416","3415","3415","3415","5.658","5.658","5.658"
"3419","3418","3418","3418","5.5594","5.5594","5.5594"
"3431","3430","3430","3430","5.4071","5.4071","5.4071"
"3432","3431","3431","3431","5.4006","5.4006","5.4006"
"3457","3456","3456","3456","5.2393","5.2393","5.2393"
"3474","3473","3473","3473","5.314","5.314","5.314"
"3487","3486","3486","3486","5.1018","5.1018","5.1018"
"3496","3495","3495","3495","5.0835","5.0835","5.0835"
"3505","3504","3504","3504","5.1036","5.1036","5.1036"
"3513","3512","3512","3512","4.9468","4.9468","4.9468"
"3519","3518","3518","3518","4.8918","4.8918","4.8918"
"3523","3522","3522","3522","4.9758","4.9758","4.9758"
"3543","3542","3542","3542","4.7142","4.7142","4.7142"
"3550","3549","3549","3549","5.0473","5.0473","5.0473"
"3551","3550","3550","3550","5.2664","5.2664","5.2664"
"3552","3551","3551","3551","5.6679","5.6679","5.6679"
"3588","3587","3587","3587","4.6369","4.6369","4.6369"
"3607","3606","3606","3606","4.505","4.505","4.505"
"3608","3607","3607","3607","4.5061","4.5061","4.5061"
"3655","3654","3654","3654","4.33","4.33","4.33"
"3656","3655","3655","3655","4.3206","4.3206","4.3206"
"3661","3660","3660","3660","4.3176","4.3176","4.3176"
"3670","3669","3669","3669","4.3116","4.3116","4.3116"
"3679","3678","3678","3678","4.2653","4.2653","4.2653"
"3703","3702","3702","3702","4.5575","4.5575","4.5575"
"3706","3705","3705","3705","4.4905","4.4905","4.4905"
"3712","3711","3711","3711","4.388","4.388","4.388"
"3713","3712","3712","3712","4.3691","4.3691","4.3691"
"3733","3732","3732","3732","4.2529","4.2529","4.2529"
"3745","3744","3744","3744","4.2136","4.2136","4.2136"
"3753","3752","3752","3752","4.1861","4.1861","4.1861"
"3760","3759","3759","3759","4.1895","4.1895","4.1895"
"3769","3768","3768","3768","4.1371","4.1371","4.1371"
"3773","3772","3772","3772","4.149","4.149","4.149"
"3774","3773","3773","3773","4.1295","4.1295","4.1295"
"3785","3784","3784","3784","4.124","4.124","4.124"
"3800","3799","3799","3799","4.0995","4.0995","4.0995"
"3816","3815","3815","3815","4.0652","4.0652","4.0652"
"3840","3839","3839","3839","4.0359","4.0359","4.0359"
"3857","3856","3856","3856","3.9943","3.9943","3.9943"
"3860","3859","3859","3859","3.9746","3.9746","3.9746"
"3865","3864","3864","3864","4.0204","4.0204","4.0204"
"3871","3870","3870","3870","3.9798","3.9798","3.9798"
"3885","3884","3884","3884","3.9906","3.9906","3.9906"
"3913","3912","3912","3912","3.927","3.927","3.927"
"3934","3933","3933","3933","3.9179","3.9179","3.9179"
"3939","3938","3938","3938","3.89","3.89","3.89"
"3941","3940","3940","3940","3.9032","3.9032","3.9032"
"3957","3956","3956","3956","3.8946","3.8946","3.8946"
"3958","3957","3957","3957","3.8778","3.8778","3.8778"
"3959","3958","3958","3958","3.872","3.872","3.872"
"3964","3963","3963","3963","3.8821","3.8821","3.8821"
"3972","3971","3971","3971","3.8865","3.8865","3.8865"
"3984","3983","3983","3983","3.8694","3.8694","3.8694"
"4002","4001","4001","4001","3.8382","3.8382","3.8382"
"4010","4009","4009","4009","3.86","3.86","3.86"
"4013","4012","4012","4012","3.8645","3.8645","3.8645"
"4014","4013","4013","4013","3.8448","3.8448","3.8448"
"4042","4041","4041","4041","3.8493","3.8493","3.8493"
"4045","4044","4044","4044","3.8033","3.8033","3.8033"
"4072","4071","4071","4071","3.7915","3.7915","3.7915"
"4077","4076","4076","4076","3.7992","3.7992","3.7992"
"4080","4079","4079","4079","3.7795","3.7795","3.7795"
"4122","4121","4121","4121","3.7742","3.7742","3.7742"
"4135","4134","4134","4134","3.7398","3.7398","3.7398"
"4157","4156","4156","4156","3.7538","3.7538","3.7538"
"4169","4168","4168","4168","3.7579","3.7579","3.7579"
"4173","4172","4172","4172","3.7475","3.7475","3.7475"
"4177","4176","4176","4176","3.7082","3.7082","3.7082"
"4188","4187","4187","4187","3.7108","3.7108","3.7108"
"4191","4190","4190","4190","3.7282","3.7282","3.7282"
"4204","4203","4203","4203","3.6961","3.6961","3.6961"
"4206","4205","4205","4205","3.7162","3.7162","3.7162"
"4213","4212","4212","4212","3.6894","3.6894","3.6894"
"4216","4215","4215","4215","3.6842","3.6842","3.6842"
"4223","4222","4222","4222","3.728","3.728","3.728"
"4230","4229","4229","4229","3.7001","3.7001","3.7001"
"4241","4240","4240","4240","3.714","3.714","3.714"
"4244","4243","4243","4243","3.6993","3.6993","3.6993"
"4252","4251","4251","4251","3.7022","3.7022","3.7022"
"4254","4253","4253","4253","3.688","3.688","3.688"
"4257","4256","4256","4256","3.6934","3.6934","3.6934"
"4263","4262","4262","4262","3.6847","3.6847","3.6847"
"4266","4265","4265","4265","3.6823","3.6823","3.6823"
"4273","4272","4272","4272","3.6576","3.6576","3.6576"
"4277","4276","4276","4276","3.6803","3.6803","3.6803"
"4281","4280","4280","4280","3.7102","3.7102","3.7102"
"4294","4293","4293","4293","3.7059","3.7059","3.7059"
"4314","4313","4313","4313","5.1851","5.1851","5.1851"
"4327","4326","4326","4326","4.5471","4.5471","4.5471"
"4336","4335","4335","4335","4.3282","4.3282","4.3282"
"4349","4348","4348","4348","4.644","4.644","4.644"
"4364","4363","4363","4363","4.2589","4.2589","4.2589"
"4369","4368","4368","4368","4.1712","4.1712","4.1712"
"4373","4372","4372","4372","4.1395","4.1395","4.1395"
"4396","4395","4395","4395","3.9687","3.9687","3.9687"
"4397","4396","4396","4396","3.972","3.972","3.972"
"4405","4404","4404","4404","4.0148","4.0148","4.0148"
"4417","4416","4416","4416","3.9146","3.9146","3.9146"
"4422","4421","4421","4421","3.9003","3.9003","3.9003"
"4425","4424","4424","4424","3.8793","3.8793","3.8793"
"4432","4431","4431","4431","3.8872","3.8872","3.8872"
"4436","4435","4435","4435","3.8383","3.8383","3.8383"
"4459","4458","4458","4458","3.8305","3.8305","3.8305"
"4472","4471","4471","4471","3.7725","3.7725","3.7725"
"4510","4509","4509","4509","3.7643","3.7643","3.7643"
"4512","4511","4511","4511","3.7022","3.7022","3.7022"
"4538","4537","4537","4537","3.7265","3.7265","3.7265"
"4574","4573","4573","4573","3.6847","3.6847","3.6847"
"4584","4583","4583","4583","3.6842","3.6842","3.6842"
"4595","4594","4594","4594","3.69","3.69","3.69"
