"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - train/loss","MIN","MAX"
"29182","29181","29181","29181","3.1234","3.1234","3.1234"
"29190","29189","29189","29189","3.1427","3.1427","3.1427"
"29198","29197","29197","29197","3.0817","3.0817","3.0817"
"29207","29206","29206","29206","3.1049","3.1049","3.1049"
"29215","29214","29214","29214","3.1174","3.1174","3.1174"
"29224","29223","29223","29223","3.1227","3.1227","3.1227"
"29239","29238","29238","29238","3.1237","3.1237","3.1237"
"29248","29247","29247","29247","3.1415","3.1415","3.1415"
"29251","29250","29250","29250","3.1322","3.1322","3.1322"
"29258","29257","29257","29257","3.1314","3.1314","3.1314"
"29279","29278","29278","29278","3.1315","3.1315","3.1315"
"29282","29281","29281","29281","3.1017","3.1017","3.1017"
"29287","29286","29286","29286","3.1188","3.1188","3.1188"
"29288","29287","29287","29287","3.1129","3.1129","3.1129"
"29300","29299","29299","29299","3.1277","3.1277","3.1277"
"29314","29313","29313","29313","3.127","3.127","3.127"
"29336","29335","29335","29335","3.0919","3.0919","3.0919"
"29339","29338","29338","29338","3.1158","3.1158","3.1158"
"29342","29341","29341","29341","3.1192","3.1192","3.1192"
"29350","29349","29349","29349","3.1122","3.1122","3.1122"
"29355","29354","29354","29354","3.1287","3.1287","3.1287"
"29377","29376","29376","29376","3.1343","3.1343","3.1343"
"29381","29380","29380","29380","3.1086","3.1086","3.1086"
"29385","29384","29384","29384","3.1137","3.1137","3.1137"
"29388","29387","29387","29387","3.143","3.143","3.143"
"29389","29388","29388","29388","3.1038","3.1038","3.1038"
"29397","29396","29396","29396","3.1378","3.1378","3.1378"
"29404","29403","29403","29403","3.1431","3.1431","3.1431"
"29424","29423","29423","29423","3.1098","3.1098","3.1098"
"29426","29425","29425","29425","3.1128","3.1128","3.1128"
"29429","29428","29428","29428","3.1186","3.1186","3.1186"
"29443","29442","29442","29442","3.1153","3.1153","3.1153"
"29460","29459","29459","29459","3.1026","3.1026","3.1026"
"29462","29461","29461","29461","3.0901","3.0901","3.0901"
"29481","29480","29480","29480","3.1058","3.1058","3.1058"
"29486","29485","29485","29485","3.0996","3.0996","3.0996"
"29493","29492","29492","29492","3.0953","3.0953","3.0953"
"29497","29496","29496","29496","3.0883","3.0883","3.0883"
"29502","29501","29501","29501","3.1145","3.1145","3.1145"
"29505","29504","29504","29504","3.1147","3.1147","3.1147"
"29509","29508","29508","29508","3.1357","3.1357","3.1357"
"29516","29515","29515","29515","3.1069","3.1069","3.1069"
"29518","29517","29517","29517","3.1287","3.1287","3.1287"
"29534","29533","29533","29533","3.1138","3.1138","3.1138"
"29540","29539","29539","29539","3.1034","3.1034","3.1034"
"29542","29541","29541","29541","3.1036","3.1036","3.1036"
"29550","29549","29549","29549","3.1548","3.1548","3.1548"
"29565","29564","29564","29564","3.1155","3.1155","3.1155"
"29600","29599","29599","29599","3.1057","3.1057","3.1057"
"29603","29602","29602","29602","3.0922","3.0922","3.0922"
"29614","29613","29613","29613","3.1275","3.1275","3.1275"
"29616","29615","29615","29615","3.121","3.121","3.121"
"29626","29625","29625","29625","3.0975","3.0975","3.0975"
"29631","29630","29630","29630","3.1418","3.1418","3.1418"
"29636","29635","29635","29635","3.1141","3.1141","3.1141"
"29655","29654","29654","29654","3.1265","3.1265","3.1265"
"29675","29674","29674","29674","3.1264","3.1264","3.1264"
"29681","29680","29680","29680","3.1297","3.1297","3.1297"
"29699","29698","29698","29698","3.0861","3.0861","3.0861"
"29700","29699","29699","29699","3.1172","3.1172","3.1172"
"29701","29700","29700","29700","3.1206","3.1206","3.1206"
"29756","29755","29755","29755","3.1165","3.1165","3.1165"
"29760","29759","29759","29759","3.1391","3.1391","3.1391"
"29766","29765","29765","29765","3.1281","3.1281","3.1281"
"29769","29768","29768","29768","3.1237","3.1237","3.1237"
"29784","29783","29783","29783","3.1004","3.1004","3.1004"
"29785","29784","29784","29784","3.1059","3.1059","3.1059"
"29792","29791","29791","29791","3.1529","3.1529","3.1529"
"29801","29800","29800","29800","3.1198","3.1198","3.1198"
"29825","29824","29824","29824","3.1012","3.1012","3.1012"
"29834","29833","29833","29833","3.1007","3.1007","3.1007"
"29848","29847","29847","29847","3.1182","3.1182","3.1182"
"29855","29854","29854","29854","3.1078","3.1078","3.1078"
"29860","29859","29859","29859","3.1084","3.1084","3.1084"
"29863","29862","29862","29862","3.1116","3.1116","3.1116"
"29871","29870","29870","29870","3.0845","3.0845","3.0845"
"29877","29876","29876","29876","3.1295","3.1295","3.1295"
"29895","29894","29894","29894","3.092","3.092","3.092"
"29904","29903","29903","29903","3.1119","3.1119","3.1119"
"29908","29907","29907","29907","3.1054","3.1054","3.1054"
"29912","29911","29911","29911","3.138","3.138","3.138"
"29915","29914","29914","29914","3.1232","3.1232","3.1232"
"29927","29926","29926","29926","3.0966","3.0966","3.0966"
"29939","29938","29938","29938","3.1037","3.1037","3.1037"
"29951","29950","29950","29950","3.1114","3.1114","3.1114"
"29952","29951","29951","29951","3.1232","3.1232","3.1232"
"29958","29957","29957","29957","3.1127","3.1127","3.1127"
"29963","29962","29962","29962","3.1269","3.1269","3.1269"
"29986","29985","29985","29985","3.121","3.121","3.121"
"29989","29988","29988","29988","3.1443","3.1443","3.1443"
"29994","29993","29993","29993","3.1397","3.1397","3.1397"
"29999","29998","29998","29998","3.1127","3.1127","3.1127"
"30019","30018","30018","30018","3.0949","3.0949","3.0949"
"30026","30025","30025","30025","3.1184","3.1184","3.1184"
"30032","30031","30031","30031","3.1073","3.1073","3.1073"
"30035","30034","30034","30034","3.1067","3.1067","3.1067"
"30040","30039","30039","30039","3.1132","3.1132","3.1132"
"30044","30043","30043","30043","3.097","3.097","3.097"
"30057","30056","30056","30056","3.1062","3.1062","3.1062"
"30067","30066","30066","30066","3.1052","3.1052","3.1052"
"30092","30091","30091","30091","3.1341","3.1341","3.1341"
"30105","30104","30104","30104","3.0937","3.0937","3.0937"
"30123","30122","30122","30122","3.1462","3.1462","3.1462"
"30131","30130","30130","30130","3.1142","3.1142","3.1142"
"30140","30139","30139","30139","3.0767","3.0767","3.0767"
"30154","30153","30153","30153","3.1135","3.1135","3.1135"
"30155","30154","30154","30154","3.1423","3.1423","3.1423"
"30158","30157","30157","30157","3.141","3.141","3.141"
"30164","30163","30163","30163","3.1316","3.1316","3.1316"
"30166","30165","30165","30165","3.0841","3.0841","3.0841"
"30167","30166","30166","30166","3.1186","3.1186","3.1186"
"30177","30176","30176","30176","3.0796","3.0796","3.0796"
"30182","30181","30181","30181","3.1409","3.1409","3.1409"
"30191","30190","30190","30190","3.112","3.112","3.112"
"30202","30201","30201","30201","3.0997","3.0997","3.0997"
"30209","30208","30208","30208","3.1141","3.1141","3.1141"
"30211","30210","30210","30210","3.1107","3.1107","3.1107"
"30212","30211","30211","30211","3.1397","3.1397","3.1397"
"30213","30212","30212","30212","3.0993","3.0993","3.0993"
"30215","30214","30214","30214","3.0851","3.0851","3.0851"
"30223","30222","30222","30222","3.1191","3.1191","3.1191"
"30230","30229","30229","30229","3.1269","3.1269","3.1269"
"30231","30230","30230","30230","3.0628","3.0628","3.0628"
"30233","30232","30232","30232","3.1101","3.1101","3.1101"
"30235","30234","30234","30234","3.1116","3.1116","3.1116"
"30239","30238","30238","30238","3.1108","3.1108","3.1108"
"30242","30241","30241","30241","3.1034","3.1034","3.1034"
"30249","30248","30248","30248","3.1337","3.1337","3.1337"
"30266","30265","30265","30265","3.1091","3.1091","3.1091"
"30273","30272","30272","30272","3.1297","3.1297","3.1297"
"30285","30284","30284","30284","3.1225","3.1225","3.1225"
"30299","30298","30298","30298","3.1242","3.1242","3.1242"
"30302","30301","30301","30301","3.1247","3.1247","3.1247"
"30323","30322","30322","30322","3.1096","3.1096","3.1096"
"30326","30325","30325","30325","3.1354","3.1354","3.1354"
"30336","30335","30335","30335","3.1365","3.1365","3.1365"
"30345","30344","30344","30344","3.1112","3.1112","3.1112"
"30348","30347","30347","30347","3.1181","3.1181","3.1181"
"30370","30369","30369","30369","3.1272","3.1272","3.1272"
"30378","30377","30377","30377","3.1193","3.1193","3.1193"
"30404","30403","30403","30403","3.1412","3.1412","3.1412"
"30407","30406","30406","30406","3.1081","3.1081","3.1081"
"30409","30408","30408","30408","3.1282","3.1282","3.1282"
"30426","30425","30425","30425","3.0934","3.0934","3.0934"
"30427","30426","30426","30426","3.1245","3.1245","3.1245"
"30428","30427","30427","30427","3.1033","3.1033","3.1033"
"30432","30431","30431","30431","3.1152","3.1152","3.1152"
"30447","30446","30446","30446","3.1058","3.1058","3.1058"
"30453","30452","30452","30452","3.1045","3.1045","3.1045"
"30465","30464","30464","30464","3.1138","3.1138","3.1138"
"30495","30494","30494","30494","3.1067","3.1067","3.1067"
"30497","30496","30496","30496","3.0966","3.0966","3.0966"
"30514","30513","30513","30513","3.0942","3.0942","3.0942"
"30522","30521","30521","30521","3.1104","3.1104","3.1104"
"30556","30555","30555","30555","3.1301","3.1301","3.1301"
"30559","30558","30558","30558","3.102","3.102","3.102"
"30572","30571","30571","30571","3.1344","3.1344","3.1344"
"30586","30585","30585","30585","3.1069","3.1069","3.1069"
"30603","30602","30602","30602","3.1065","3.1065","3.1065"
"30605","30604","30604","30604","3.131","3.131","3.131"
"30621","30620","30620","30620","3.1029","3.1029","3.1029"
"30629","30628","30628","30628","3.094","3.094","3.094"
"30655","30654","30654","30654","3.1052","3.1052","3.1052"
"30666","30665","30665","30665","3.0971","3.0971","3.0971"
"30669","30668","30668","30668","3.089","3.089","3.089"
"30700","30699","30699","30699","3.1031","3.1031","3.1031"
"30710","30709","30709","30709","3.1047","3.1047","3.1047"
"30711","30710","30710","30710","3.1045","3.1045","3.1045"
"30716","30715","30715","30715","3.1264","3.1264","3.1264"
"30730","30729","30729","30729","3.0777","3.0777","3.0777"
"30754","30753","30753","30753","3.0909","3.0909","3.0909"
"30762","30761","30761","30761","3.1025","3.1025","3.1025"
"30786","30785","30785","30785","3.1189","3.1189","3.1189"
"30799","30798","30798","30798","3.1387","3.1387","3.1387"
"30802","30801","30801","30801","3.1237","3.1237","3.1237"
"30818","30817","30817","30817","3.1178","3.1178","3.1178"
"30825","30824","30824","30824","3.1118","3.1118","3.1118"
"30841","30840","30840","30840","3.1046","3.1046","3.1046"
"30851","30850","30850","30850","3.1065","3.1065","3.1065"
"30855","30854","30854","30854","3.0943","3.0943","3.0943"
"30858","30857","30857","30857","3.0854","3.0854","3.0854"
"30865","30864","30864","30864","3.1161","3.1161","3.1161"
"30866","30865","30865","30865","3.0989","3.0989","3.0989"
"30867","30866","30866","30866","3.1074","3.1074","3.1074"
"30870","30869","30869","30869","3.0947","3.0947","3.0947"
"30874","30873","30873","30873","3.1152","3.1152","3.1152"
"30889","30888","30888","30888","3.0906","3.0906","3.0906"
"30903","30902","30902","30902","3.098","3.098","3.098"
"30917","30916","30916","30916","3.1005","3.1005","3.1005"
"30937","30936","30936","30936","3.1272","3.1272","3.1272"
"30940","30939","30939","30939","3.104","3.104","3.104"
"30975","30974","30974","30974","3.1121","3.1121","3.1121"
"30984","30983","30983","30983","3.13","3.13","3.13"
"30990","30989","30989","30989","3.1256","3.1256","3.1256"
"30991","30990","30990","30990","3.1092","3.1092","3.1092"
"31007","31006","31006","31006","3.1111","3.1111","3.1111"
"31010","31009","31009","31009","3.1001","3.1001","3.1001"
"31040","31039","31039","31039","3.1063","3.1063","3.1063"
"31062","31061","31061","31061","3.1111","3.1111","3.1111"
"31088","31087","31087","31087","3.0873","3.0873","3.0873"
"31114","31113","31113","31113","3.0806","3.0806","3.0806"
"31127","31126","31126","31126","3.1421","3.1421","3.1421"
"31141","31140","31140","31140","3.1226","3.1226","3.1226"
"31151","31150","31150","31150","3.1014","3.1014","3.1014"
"31156","31155","31155","31155","3.1056","3.1056","3.1056"
"31169","31168","31168","31168","3.1291","3.1291","3.1291"
"31171","31170","31170","31170","3.1195","3.1195","3.1195"
"31220","31219","31219","31219","3.1288","3.1288","3.1288"
"31222","31221","31221","31221","3.0627","3.0627","3.0627"
"31227","31226","31226","31226","3.0869","3.0869","3.0869"
"31241","31240","31240","31240","3.1086","3.1086","3.1086"
"31250","31249","31249","31249","3.1071","3.1071","3.1071"
"31263","31262","31262","31262","3.115","3.115","3.115"
"31265","31264","31264","31264","3.102","3.102","3.102"
"31266","31265","31265","31265","3.0859","3.0859","3.0859"
"31297","31296","31296","31296","3.088","3.088","3.088"
"31312","31311","31311","31311","3.1355","3.1355","3.1355"
"31319","31318","31318","31318","3.1067","3.1067","3.1067"
"31321","31320","31320","31320","3.1102","3.1102","3.1102"
"31358","31357","31357","31357","3.1246","3.1246","3.1246"
"31370","31369","31369","31369","3.1385","3.1385","3.1385"
"31372","31371","31371","31371","3.1384","3.1384","3.1384"
"31397","31396","31396","31396","7.1935","7.1935","7.1935"
"31413","31412","31412","31412","7.7844","7.7844","7.7844"
"31427","31426","31426","31426","7.407","7.407","7.407"
"31435","31434","31434","31434","7.0794","7.0794","7.0794"
"31444","31443","31443","31443","6.9056","6.9056","6.9056"
"31447","31446","31446","31446","6.7765","6.7765","6.7765"
"31465","31464","31464","31464","6.4223","6.4223","6.4223"
"31471","31470","31470","31470","6.2374","6.2374","6.2374"
"31474","31473","31473","31473","6.1215","6.1215","6.1215"
"31476","31475","31475","31475","6.0447","6.0447","6.0447"
"31480","31479","31479","31479","6.0824","6.0824","6.0824"
"31482","31481","31481","31481","5.9502","5.9502","5.9502"
"31489","31488","31488","31488","5.9989","5.9989","5.9989"
"31499","31498","31498","31498","5.5568","5.5568","5.5568"
"31504","31503","31503","31503","5.9981","5.9981","5.9981"
"31516","31515","31515","31515","5.0844","5.0844","5.0844"
"31524","31523","31523","31523","4.8801","4.8801","4.8801"
"31547","31546","31546","31546","4.3072","4.3072","4.3072"
"31554","31553","31553","31553","4.2022","4.2022","4.2022"
"31555","31554","31554","31554","4.1692","4.1692","4.1692"
"31570","31569","31569","31569","4.0944","4.0944","4.0944"
"31571","31570","31570","31570","4.0677","4.0677","4.0677"
"31572","31571","31571","31571","3.9732","3.9732","3.9732"
"31576","31575","31575","31575","3.9238","3.9238","3.9238"
"31591","31590","31590","31590","3.7412","3.7412","3.7412"
"31606","31605","31605","31605","3.6282","3.6282","3.6282"
"31607","31606","31606","31606","3.6689","3.6689","3.6689"
"31611","31610","31610","31610","3.6456","3.6456","3.6456"
"31612","31611","31611","31611","3.6459","3.6459","3.6459"
"31622","31621","31621","31621","3.5315","3.5315","3.5315"
"31624","31623","31623","31623","3.5114","3.5114","3.5114"
"31631","31630","31630","31630","3.4962","3.4962","3.4962"
"31647","31646","31646","31646","3.4666","3.4666","3.4666"
"31664","31663","31663","31663","3.4546","3.4546","3.4546"
"31676","31675","31675","31675","3.5939","3.5939","3.5939"
"31679","31678","31678","31678","3.5398","3.5398","3.5398"
"31697","31696","31696","31696","3.3591","3.3591","3.3591"
"31710","31709","31709","31709","3.3487","3.3487","3.3487"
"31713","31712","31712","31712","3.3285","3.3285","3.3285"
"31718","31717","31717","31717","3.332","3.332","3.332"
"31758","31757","31757","31757","3.2541","3.2541","3.2541"
"31766","31765","31765","31765","3.2411","3.2411","3.2411"
"31767","31766","31766","31766","3.2368","3.2368","3.2368"
"31768","31767","31767","31767","3.2377","3.2377","3.2377"
"31776","31775","31775","31775","3.2281","3.2281","3.2281"
"31778","31777","31777","31777","3.2413","3.2413","3.2413"
"31784","31783","31783","31783","3.2088","3.2088","3.2088"
"31788","31787","31787","31787","3.2493","3.2493","3.2493"
"31789","31788","31788","31788","3.234","3.234","3.234"
"31797","31796","31796","31796","3.2215","3.2215","3.2215"
"31807","31806","31806","31806","3.23","3.23","3.23"
"31809","31808","31808","31808","3.2108","3.2108","3.2108"
"31811","31810","31810","31810","3.2193","3.2193","3.2193"
"31821","31820","31820","31820","3.2128","3.2128","3.2128"
"31830","31829","31829","31829","3.2359","3.2359","3.2359"
"31833","31832","31832","31832","3.2287","3.2287","3.2287"
"31850","31849","31849","31849","3.2027","3.2027","3.2027"
"31855","31854","31854","31854","3.1936","3.1936","3.1936"
"31856","31855","31855","31855","3.1902","3.1902","3.1902"
"31858","31857","31857","31857","3.2019","3.2019","3.2019"
"31860","31859","31859","31859","3.1822","3.1822","3.1822"
"31867","31866","31866","31866","3.2178","3.2178","3.2178"
"31868","31867","31867","31867","3.193","3.193","3.193"
"31879","31878","31878","31878","3.1819","3.1819","3.1819"
"31880","31879","31879","31879","3.2078","3.2078","3.2078"
"31885","31884","31884","31884","3.1794","3.1794","3.1794"
"31894","31893","31893","31893","3.1949","3.1949","3.1949"
"31915","31914","31914","31914","3.1634","3.1634","3.1634"
"31924","31923","31923","31923","3.1639","3.1639","3.1639"
"31954","31953","31953","31953","3.1643","3.1643","3.1643"
"31956","31955","31955","31955","3.1941","3.1941","3.1941"
"31968","31967","31967","31967","3.1843","3.1843","3.1843"
"31971","31970","31970","31970","3.1711","3.1711","3.1711"
"31974","31973","31973","31973","3.1681","3.1681","3.1681"
"31975","31974","31974","31974","3.1564","3.1564","3.1564"
"31985","31984","31984","31984","3.1672","3.1672","3.1672"
"31991","31990","31990","31990","3.1562","3.1562","3.1562"
"31993","31992","31992","31992","3.1457","3.1457","3.1457"
"31999","31998","31998","31998","3.1231","3.1231","3.1231"
"32002","32001","32001","32001","3.1498","3.1498","3.1498"
"32016","32015","32015","32015","3.1657","3.1657","3.1657"
"32021","32020","32020","32020","3.1497","3.1497","3.1497"
"32030","32029","32029","32029","3.1564","3.1564","3.1564"
"32033","32032","32032","32032","3.1271","3.1271","3.1271"
"32034","32033","32033","32033","3.1815","3.1815","3.1815"
"32049","32048","32048","32048","3.1491","3.1491","3.1491"
"32053","32052","32052","32052","3.1373","3.1373","3.1373"
"32059","32058","32058","32058","3.1398","3.1398","3.1398"
"32071","32070","32070","32070","3.1491","3.1491","3.1491"
"32076","32075","32075","32075","3.131","3.131","3.131"
"32101","32100","32100","32100","3.1482","3.1482","3.1482"
"32159","32158","32158","32158","3.1235","3.1235","3.1235"
"32174","32173","32173","32173","3.1458","3.1458","3.1458"
"32191","32190","32190","32190","3.1447","3.1447","3.1447"
"32224","32223","32223","32223","3.1337","3.1337","3.1337"
"32230","32229","32229","32229","3.1155","3.1155","3.1155"
"32235","32234","32234","32234","3.0933","3.0933","3.0933"
"32271","32270","32270","32270","3.1263","3.1263","3.1263"
"32280","32279","32279","32279","3.1277","3.1277","3.1277"
"32285","32284","32284","32284","3.125","3.125","3.125"
"32286","32285","32285","32285","3.1378","3.1378","3.1378"
"32288","32287","32287","32287","3.1588","3.1588","3.1588"
"32294","32293","32293","32293","3.148","3.148","3.148"
"32296","32295","32295","32295","3.1386","3.1386","3.1386"
"32299","32298","32298","32298","3.1269","3.1269","3.1269"
"32333","32332","32332","32332","3.1519","3.1519","3.1519"
"32342","32341","32341","32341","3.1435","3.1435","3.1435"
"32373","32372","32372","32372","3.0962","3.0962","3.0962"
"32378","32377","32377","32377","3.1248","3.1248","3.1248"
"32379","32378","32378","32378","3.1141","3.1141","3.1141"
"32381","32380","32380","32380","3.1037","3.1037","3.1037"
"32386","32385","32385","32385","3.1262","3.1262","3.1262"
"32404","32403","32403","32403","3.1394","3.1394","3.1394"
"32435","32434","32434","32434","3.1035","3.1035","3.1035"
"32441","32440","32440","32440","3.1325","3.1325","3.1325"
"32449","32448","32448","32448","3.126","3.126","3.126"
"32457","32456","32456","32456","3.1387","3.1387","3.1387"
"32464","32463","32463","32463","3.1298","3.1298","3.1298"
"32467","32466","32466","32466","3.1089","3.1089","3.1089"
"32485","32484","32484","32484","3.1343","3.1343","3.1343"
"32487","32486","32486","32486","3.1151","3.1151","3.1151"
"32507","32506","32506","32506","3.1323","3.1323","3.1323"
"32510","32509","32509","32509","3.1359","3.1359","3.1359"
"32518","32517","32517","32517","3.1328","3.1328","3.1328"
"32529","32528","32528","32528","3.1137","3.1137","3.1137"
"32543","32542","32542","32542","3.1197","3.1197","3.1197"
"32547","32546","32546","32546","3.1001","3.1001","3.1001"
"32551","32550","32550","32550","3.099","3.099","3.099"
"32561","32560","32560","32560","3.1129","3.1129","3.1129"
"32578","32577","32577","32577","3.1117","3.1117","3.1117"
"32617","32616","32616","32616","3.1325","3.1325","3.1325"
"32659","32658","32658","32658","3.1254","3.1254","3.1254"
"32664","32663","32663","32663","3.1162","3.1162","3.1162"
"32669","32668","32668","32668","3.094","3.094","3.094"
"32673","32672","32672","32672","3.1235","3.1235","3.1235"
"32675","32674","32674","32674","3.1117","3.1117","3.1117"
"32687","32686","32686","32686","3.131","3.131","3.131"
"32694","32693","32693","32693","3.1288","3.1288","3.1288"
"32718","32717","32717","32717","3.1338","3.1338","3.1338"
"32731","32730","32730","32730","3.1112","3.1112","3.1112"
"32737","32736","32736","32736","3.1486","3.1486","3.1486"
"32749","32748","32748","32748","3.1294","3.1294","3.1294"
"32751","32750","32750","32750","3.1343","3.1343","3.1343"
"32771","32770","32770","32770","3.0887","3.0887","3.0887"
"32792","32791","32791","32791","3.1071","3.1071","3.1071"
"32793","32792","32792","32792","3.1192","3.1192","3.1192"
"32797","32796","32796","32796","3.0748","3.0748","3.0748"
"32814","32813","32813","32813","3.1023","3.1023","3.1023"
"32823","32822","32822","32822","3.1237","3.1237","3.1237"
"32832","32831","32831","32831","3.1126","3.1126","3.1126"
"32841","32840","32840","32840","3.1263","3.1263","3.1263"
"32883","32882","32882","32882","3.1119","3.1119","3.1119"
"32899","32898","32898","32898","3.1231","3.1231","3.1231"
"32936","32935","32935","32935","3.1196","3.1196","3.1196"
"32938","32937","32937","32937","3.1088","3.1088","3.1088"
"32941","32940","32940","32940","3.1071","3.1071","3.1071"
"32951","32950","32950","32950","3.1218","3.1218","3.1218"
"32978","32977","32977","32977","3.0986","3.0986","3.0986"
"32981","32980","32980","32980","3.1169","3.1169","3.1169"
"32982","32981","32981","32981","3.0857","3.0857","3.0857"
"32985","32984","32984","32984","3.1189","3.1189","3.1189"
"32995","32994","32994","32994","3.1012","3.1012","3.1012"
"32996","32995","32995","32995","3.1159","3.1159","3.1159"
"33002","33001","33001","33001","3.0818","3.0818","3.0818"
"33003","33002","33002","33002","3.1239","3.1239","3.1239"
"33008","33007","33007","33007","3.0997","3.0997","3.0997"
"33016","33015","33015","33015","3.1173","3.1173","3.1173"
"33027","33026","33026","33026","3.1367","3.1367","3.1367"
"33033","33032","33032","33032","3.095","3.095","3.095"
"33055","33054","33054","33054","3.1214","3.1214","3.1214"
"33077","33076","33076","33076","3.1029","3.1029","3.1029"
"33082","33081","33081","33081","3.0986","3.0986","3.0986"
"33128","33127","33127","33127","3.1152","3.1152","3.1152"
"33130","33129","33129","33129","3.1219","3.1219","3.1219"
"33146","33145","33145","33145","3.1172","3.1172","3.1172"
"33148","33147","33147","33147","3.1137","3.1137","3.1137"
"33154","33153","33153","33153","3.1233","3.1233","3.1233"
"33165","33164","33164","33164","3.0992","3.0992","3.0992"
"33187","33186","33186","33186","3.0824","3.0824","3.0824"
"33188","33187","33187","33187","3.0937","3.0937","3.0937"
"33193","33192","33192","33192","3.1159","3.1159","3.1159"
"33202","33201","33201","33201","3.1162","3.1162","3.1162"
"33212","33211","33211","33211","3.0683","3.0683","3.0683"
"33215","33214","33214","33214","3.073","3.073","3.073"
"33218","33217","33217","33217","3.1155","3.1155","3.1155"
"33222","33221","33221","33221","3.1151","3.1151","3.1151"
"33227","33226","33226","33226","3.1314","3.1314","3.1314"
"33240","33239","33239","33239","3.0949","3.0949","3.0949"
"33241","33240","33240","33240","3.0956","3.0956","3.0956"
"33250","33249","33249","33249","3.102","3.102","3.102"
"33270","33269","33269","33269","3.0848","3.0848","3.0848"
"33275","33274","33274","33274","3.0945","3.0945","3.0945"
"33286","33285","33285","33285","3.1091","3.1091","3.1091"
"33290","33289","33289","33289","3.0914","3.0914","3.0914"
"33296","33295","33295","33295","3.0788","3.0788","3.0788"
"33297","33296","33296","33296","3.0813","3.0813","3.0813"
"33326","33325","33325","33325","3.1293","3.1293","3.1293"
"33327","33326","33326","33326","3.1171","3.1171","3.1171"
"33340","33339","33339","33339","3.0784","3.0784","3.0784"
"33350","33349","33349","33349","3.0939","3.0939","3.0939"
"33361","33360","33360","33360","3.0741","3.0741","3.0741"
"33369","33368","33368","33368","3.0927","3.0927","3.0927"
"33371","33370","33370","33370","3.1117","3.1117","3.1117"
"33375","33374","33374","33374","3.1327","3.1327","3.1327"
"33376","33375","33375","33375","3.1099","3.1099","3.1099"
"33397","33396","33396","33396","3.1137","3.1137","3.1137"
"33398","33397","33397","33397","3.0852","3.0852","3.0852"
"33401","33400","33400","33400","3.1434","3.1434","3.1434"
"33409","33408","33408","33408","3.0968","3.0968","3.0968"
"33412","33411","33411","33411","3.1038","3.1038","3.1038"
"33422","33421","33421","33421","3.106","3.106","3.106"
"33428","33427","33427","33427","3.0963","3.0963","3.0963"
"33431","33430","33430","33430","3.1087","3.1087","3.1087"
"33434","33433","33433","33433","3.1128","3.1128","3.1128"
"33442","33441","33441","33441","3.1194","3.1194","3.1194"
"33445","33444","33444","33444","3.1032","3.1032","3.1032"
"33447","33446","33446","33446","3.0854","3.0854","3.0854"
"33458","33457","33457","33457","3.1124","3.1124","3.1124"
"33468","33467","33467","33467","3.1181","3.1181","3.1181"
"33486","33485","33485","33485","3.09","3.09","3.09"
"33488","33487","33487","33487","3.094","3.094","3.094"
"33496","33495","33495","33495","3.0817","3.0817","3.0817"
"33517","33516","33516","33516","3.1178","3.1178","3.1178"
"33523","33522","33522","33522","3.1031","3.1031","3.1031"
"33524","33523","33523","33523","3.0915","3.0915","3.0915"
"33530","33529","33529","33529","3.1142","3.1142","3.1142"
"33534","33533","33533","33533","3.0833","3.0833","3.0833"
"33545","33544","33544","33544","3.1074","3.1074","3.1074"
"33572","33571","33571","33571","3.0985","3.0985","3.0985"
"33576","33575","33575","33575","3.099","3.099","3.099"
"33578","33577","33577","33577","3.1501","3.1501","3.1501"
"33582","33581","33581","33581","3.1256","3.1256","3.1256"
"33586","33585","33585","33585","3.0974","3.0974","3.0974"
"33588","33587","33587","33587","3.0831","3.0831","3.0831"
"33640","33639","33639","33639","3.125","3.125","3.125"
"33652","33651","33651","33651","3.0783","3.0783","3.0783"
"33659","33658","33658","33658","3.1028","3.1028","3.1028"
"33669","33668","33668","33668","3.0914","3.0914","3.0914"
"33675","33674","33674","33674","3.0961","3.0961","3.0961"
"33679","33678","33678","33678","3.1023","3.1023","3.1023"
"33684","33683","33683","33683","3.133","3.133","3.133"
"33704","33703","33703","33703","3.0787","3.0787","3.0787"
"33710","33709","33709","33709","3.1112","3.1112","3.1112"
"33712","33711","33711","33711","3.087","3.087","3.087"
"33713","33712","33712","33712","3.1153","3.1153","3.1153"
"33715","33714","33714","33714","3.0949","3.0949","3.0949"
"33716","33715","33715","33715","3.1061","3.1061","3.1061"
"33719","33718","33718","33718","3.0804","3.0804","3.0804"
"33723","33722","33722","33722","3.1217","3.1217","3.1217"
"33730","33729","33729","33729","3.1013","3.1013","3.1013"
"33737","33736","33736","33736","3.1282","3.1282","3.1282"
"33745","33744","33744","33744","3.0951","3.0951","3.0951"
"33751","33750","33750","33750","3.1447","3.1447","3.1447"
"33753","33752","33752","33752","3.12","3.12","3.12"
"33754","33753","33753","33753","3.117","3.117","3.117"
"33764","33763","33763","33763","3.0982","3.0982","3.0982"
"33790","33789","33789","33789","3.0977","3.0977","3.0977"
"33806","33805","33805","33805","3.1079","3.1079","3.1079"
