"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - train/loss","MIN","MAX"
"1210","1209","1209","1209","3.9191","3.9191","3.9191"
"1221","1220","1220","1220","3.914","3.914","3.914"
"1223","1222","1222","1222","3.9015","3.9015","3.9015"
"1229","1228","1228","1228","3.8952","3.8952","3.8952"
"1244","1243","1243","1243","3.8879","3.8879","3.8879"
"1280","1279","1279","1279","3.8621","3.8621","3.8621"
"1284","1283","1283","1283","3.9125","3.9125","3.9125"
"1297","1296","1296","1296","4.2463","4.2463","4.2463"
"1308","1307","1307","1307","10.8464","10.8464","10.8464"
"1310","1309","1309","1309","9.5513","9.5513","9.5513"
"1314","1313","1313","1313","8.2291","8.2291","8.2291"
"1362","1361","1361","1361","7.0964","7.0964","7.0964"
"1369","1368","1368","1368","7.017","7.017","7.017"
"1392","1391","1391","1391","6.7287","6.7287","6.7287"
"1393","1392","1392","1392","6.7077","6.7077","6.7077"
"1394","1393","1393","1393","6.6871","6.6871","6.6871"
"1398","1397","1397","1397","6.6574","6.6574","6.6574"
"1417","1416","1416","1416","6.5273","6.5273","6.5273"
"1422","1421","1421","1421","6.4987","6.4987","6.4987"
"1427","1426","1426","1426","6.5405","6.5405","6.5405"
"1429","1428","1428","1428","6.5704","6.5704","6.5704"
"1435","1434","1434","1434","6.482","6.482","6.482"
"1438","1437","1437","1437","6.4606","6.4606","6.4606"
"1441","1440","1440","1440","6.4288","6.4288","6.4288"
"1457","1456","1456","1456","6.3226","6.3226","6.3226"
"1458","1457","1457","1457","6.319","6.319","6.319"
"1492","1491","1491","1491","6.12","6.12","6.12"
"1504","1503","1503","1503","6.0387","6.0387","6.0387"
"1505","1504","1504","1504","6.032","6.032","6.032"
"1526","1525","1525","1525","5.9017","5.9017","5.9017"
"1534","1533","1533","1533","5.8318","5.8318","5.8318"
"1558","1557","1557","1557","5.6965","5.6965","5.6965"
"1564","1563","1563","1563","5.8856","5.8856","5.8856"
"1568","1567","1567","1567","5.696","5.696","5.696"
"1578","1577","1577","1577","5.5574","5.5574","5.5574"
"1585","1584","1584","1584","5.5092","5.5092","5.5092"
"1612","1611","1611","1611","5.8228","5.8228","5.8228"
"1613","1612","1612","1612","5.8249","5.8249","5.8249"
"1630","1629","1629","1629","5.4116","5.4116","5.4116"
"1660","1659","1659","1659","5.1036","5.1036","5.1036"
"1663","1662","1662","1662","5.1046","5.1046","5.1046"
"1673","1672","1672","1672","5.019","5.019","5.019"
"1678","1677","1677","1677","4.9405","4.9405","4.9405"
"1708","1707","1707","1707","5.3603","5.3603","5.3603"
"1711","1710","1710","1710","5.1994","5.1994","5.1994"
"1725","1724","1724","1724","4.6961","4.6961","4.6961"
"1740","1739","1739","1739","4.5397","4.5397","4.5397"
"1743","1742","1742","1742","4.513","4.513","4.513"
"1747","1746","1746","1746","4.4614","4.4614","4.4614"
"1749","1748","1748","1748","4.4435","4.4435","4.4435"
"1778","1777","1777","1777","4.595","4.595","4.595"
"1779","1778","1778","1778","4.5906","4.5906","4.5906"
"1781","1780","1780","1780","4.5373","4.5373","4.5373"
"1786","1785","1785","1785","4.4625","4.4625","4.4625"
"1819","1818","1818","1818","4.2424","4.2424","4.2424"
"1841","1840","1840","1840","4.1523","4.1523","4.1523"
"1850","1849","1849","1849","5.7878","5.7878","5.7878"
"1854","1853","1853","1853","5.6492","5.6492","5.6492"
"1864","1863","1863","1863","5.0403","5.0403","5.0403"
"1865","1864","1864","1864","4.9693","4.9693","4.9693"
"1875","1874","1874","1874","4.66","4.66","4.66"
"1879","1878","1878","1878","4.5487","4.5487","4.5487"
"1884","1883","1883","1883","4.4727","4.4727","4.4727"
"1891","1890","1890","1890","4.4475","4.4475","4.4475"
"1901","1900","1900","1900","4.3514","4.3514","4.3514"
"1917","1916","1916","1916","4.2658","4.2658","4.2658"
"1918","1917","1917","1917","4.2482","4.2482","4.2482"
"1942","1941","1941","1941","4.1861","4.1861","4.1861"
"1948","1947","1947","1947","4.1774","4.1774","4.1774"
"1964","1963","1963","1963","4.1371","4.1371","4.1371"
"2000","1999","1999","1999","4.0705","4.0705","4.0705"
"2005","2004","2004","2004","4.0847","4.0847","4.0847"
"2006","2005","2005","2005","4.0812","4.0812","4.0812"
"2022","2021","2021","2021","4.0401","4.0401","4.0401"
"2032","2031","2031","2031","4.0131","4.0131","4.0131"
"2033","2032","2032","2032","4.0536","4.0536","4.0536"
"2037","2036","2036","2036","4.0465","4.0465","4.0465"
"2065","2064","2064","2064","3.9839","3.9839","3.9839"
"2083","2082","2082","2082","3.993","3.993","3.993"
"2098","2097","2097","2097","3.9978","3.9978","3.9978"
"2099","2098","2098","2098","4.0011","4.0011","4.0011"
"2102","2101","2101","2101","4.0042","4.0042","4.0042"
